fname time Tem kT_1 Rs_EA Is1_EA Is2_EA n1_EA n2_EA Rsh_EA If_EA Voc_EA Isc_EA Pm_EA FF_EA 
0US1 7:16 292.2 39.68 1.99E+00 9.47E-12 6.22E-06 1 2.935 1.78E+04 1.450E-005 0.0727 1.449E-005 3.112E-007 0.2953 
0US2 7:30 295.7 39.21 2.06E+00 1.78E-11 7.22E-06 1 2.907 1.60E+04 1.430E-005 0.06535 1.430E-005 2.653E-007 0.2839 
0US3 7:46 298.7 38.82 2.11E+00 2.93E-11 8.25E-06 1 2.889 1.50E+04 1.427E-005 0.06008 1.426E-005 2.461E-007 0.2872 
0US4 8:4 301.1 38.51 2.16E+00 4.27E-11 9.18E-06 1 2.874 1.33E+04 1.443E-005 0.05583 1.442E-005 2.285E-007 0.2839 
0US5 8:22 304.3 38.1 2.22E+00 7.15E-11 1.07E-05 1 2.86 1.24E+04 1.418E-005 0.04996 1.417E-005 1.945E-007 0.2747 
0US6 8:39 306.8 37.79 2.26E+00 1.03E-10 1.18E-05 1 2.841 1.06E+04 1.451E-005 0.04652 1.450E-005 1.871E-007 0.2774 
0US7 8:57 309.8 37.42 2.32E+00 1.69E-10 1.38E-05 1 2.839 9.61E+03 1.424E-005 0.04122 1.423E-005 1.605E-007 0.2736 
0US8 9:16 312.5 37.1 2.37E+00 2.45E-10 1.44E-05 1 2.785 7.20E+03 1.398E-005 0.03622 1.397E-005 1.358E-007 0.2684 
0US9 9:35 315.1 36.8 2.42E+00 3.83E-10 1.75E-05 1 2.817 8.09E+03 1.501E-005 0.03615 1.499E-005 1.463E-007 0.2699 
US10 9:56 318.1 36.45 2.47E+00 6.15E-10 1.93E-05 1 2.787 6.25E+03 1.491E-005 0.0316 1.489E-005 1.189E-007 0.2527 
US11 10:13 320.5 36.18 2.52E+00 8.64E-10 2.15E-05 1 2.781 5.81E+03 1.505E-005 0.02938 1.503E-005 1.045E-007 0.2365 
US12 10:33 323.8 35.81 2.58E+00 1.51E-09 2.63E-05 1 2.81 5.27E+03 1.566E-005 0.02656 1.563E-005 1.087E-007 0.2618 
US13 10:51 327.3 35.42 2.64E+00 2.38E-09 2.90E-05 1 2.77 4.28E+03 1.414E-005 0.0214 1.412E-005 7.884E-008 0.2609 
US14 11:7 330.3 35.1 2.70E+00 3.63E-09 3.26E-05 1 2.752 3.78E+03 1.402E-005 0.01905 1.400E-005 6.921E-008 0.2596 
US15 11:21 332.4 34.88 2.74E+00 4.73E-09 3.69E-05 1 2.775 3.72E+03 1.488E-005 0.01878 1.485E-005 7.231E-008 0.2593 
