T d154 d184 d214 d244
d 150 180 210 240
290 1.303556700E+00 1.303309023E+00 1.303505897E+00 1.303540991E+00
295 1.301940733E+00 1.301588196E+00 1.301856123E+00 1.301889525E+00
300 1.301375397E+00 1.300884649E+00 1.301219270E+00 1.301227300E+00
305 1.301848484E+00 1.301124739E+00 1.301368464E+00 1.301523204E+00
310 1.302145818E+00 1.302353922E+00 1.302510639E+00 1.302667323E+00
315 1.304148802E+00 1.304363338E+00 1.304457926E+00 1.304666380E+00
320 1.306777073E+00 1.307287321E+00 1.307044651E+00 1.307330890E+00
325 1.309695420E+00 1.310304021E+00 1.310022024E+00 1.310172011E+00
330 1.312797962E+00 1.313427960E+00 1.313266336E+00 1.313218995E+00
335 1.315726095E+00 1.316364834E+00 1.316206400E+00 1.316020355E+00
340 1.318028811E+00 1.318691384E+00 1.318529196E+00 1.318287848E+00
