N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 -2.146323000E-03 -2.484074000E-03 -2.638988000E-03 -2.615124000E-03 -2.405604000E-03 -1.990792000E-03 -1.353933000E-03 -4.375690000E-04 7.675430000E-04 2.247672000E-03 3.932168000E-03 5.692305000E-03 7.358896000E-03 8.776189000E-03 9.838487000E-03 1.050893400E-02 1.078414300E-02 1.069432200E-02 1.029423800E-02
1.600000000E+01 2.967770400E-02 3.042390200E-02 3.108666100E-02 3.162568200E-02 3.202381600E-02 3.228112900E-02 3.240664300E-02 3.240601800E-02 3.230678500E-02 3.211865200E-02 3.188195800E-02 3.163703400E-02 3.143224700E-02 3.132391300E-02 3.133543500E-02 3.145835600E-02 3.165097100E-02 3.184890000E-02 3.201067200E-02
1.700000000E+01 4.066444900E-02 4.242467200E-02 4.448105000E-02 4.683287100E-02 4.939334800E-02 5.195779200E-02 5.431251500E-02 5.631765700E-02 5.796535800E-02 5.934289100E-02 6.059037100E-02 6.184765500E-02 6.316527400E-02 6.453556900E-02 6.585383100E-02 6.699324800E-02 6.785791400E-02 6.840789900E-02 6.861211000E-02
1.549996187E+01 2.304186600E-02 2.277423900E-02 2.257028200E-02 2.243071100E-02 2.235188800E-02 2.232973400E-02 2.236172700E-02 2.244691100E-02 2.258424100E-02 2.276941300E-02 2.299094900E-02 2.322718900E-02 2.344642400E-02 2.361121200E-02 2.368398100E-02 2.365009800E-02 2.349909300E-02 2.323935900E-02 2.290773800E-02
1.649996187E+01 4.403182000E-02 4.600608300E-02 4.809157100E-02 5.009634800E-02 5.182235200E-02 5.312232300E-02 5.393063300E-02 5.426724400E-02 5.422605000E-02 5.395609100E-02 5.363585700E-02 5.343785400E-02 5.348562700E-02 5.381789500E-02 5.438119700E-02 5.505999700E-02 5.572696000E-02 5.628249900E-02 5.666840900E-02
1.674996808E+01 4.545691400E-02 4.752318300E-02 4.985986500E-02 5.230371100E-02 5.464078800E-02 5.662167700E-02 5.809548200E-02 5.902418200E-02 5.951361600E-02 5.974804700E-02 5.993084000E-02 6.025544300E-02 6.080785800E-02 6.160084000E-02 6.251863500E-02 6.342839700E-02 6.420250400E-02 6.475032500E-02 6.504639000E-02
1.624993176E+01 3.677919900E-02 3.824579800E-02 3.966785700E-02 4.091830300E-02 4.190581200E-02 4.258583000E-02 4.295413100E-02 4.301420500E-02 4.284716600E-02 4.253018100E-02 4.215105400E-02 4.181298100E-02 4.164061700E-02 4.167703500E-02 4.194452400E-02 4.236041700E-02 4.285889000E-02 4.331446300E-02 4.367789200E-02
1.574996808E+01 2.554376000E-02 2.564468100E-02 2.572670400E-02 2.579038400E-02 2.583301200E-02 2.586608900E-02 2.588744200E-02 2.589910200E-02 2.590076300E-02 2.589452600E-02 2.587837700E-02 2.585217300E-02 2.579915500E-02 2.575644000E-02 2.570939100E-02 2.565806400E-02 2.559818100E-02 2.551211800E-02 2.541552000E-02
1.524993176E+01 1.424141200E-02 1.384617700E-02 1.357660400E-02 1.342426200E-02 1.338149100E-02 1.344532000E-02 1.360393500E-02 1.388872700E-02 1.428489900E-02 1.480592300E-02 1.541310700E-02 1.607886600E-02 1.672116500E-02 1.727759200E-02 1.766695200E-02 1.785770400E-02 1.781828700E-02 1.756911500E-02 1.715078900E-02
