N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 3.843148600E-02 3.953992200E-02 4.021095500E-02 4.049316200E-02 4.040724100E-02 3.994042700E-02 3.904524100E-02 3.764325500E-02 3.563790700E-02 3.294341800E-02 2.953680700E-02 2.553191500E-02 2.125035900E-02 1.722808700E-02 1.407682400E-02 1.218739600E-02 1.146605900E-02 1.143287300E-02 1.163616400E-02
1.600000000E+01 -6.616304000E-02 -6.861153800E-02 -6.979789400E-02 -6.973500700E-02 -6.837019700E-02 -6.557533300E-02 -6.116752800E-02 -5.497299100E-02 -4.694720300E-02 -3.733716100E-02 -2.680977800E-02 -1.640038200E-02 -7.187959000E-03 1.538410000E-04 5.577423000E-03 9.486502000E-03 1.238512800E-02 1.464903100E-02 1.648864500E-02
1.700000000E+01 6.698451500E-02 7.702950600E-02 8.429808500E-02 8.993772700E-02 9.247575900E-02 9.282294400E-02 9.086665600E-02 8.717852400E-02 8.246541600E-02 7.744881000E-02 7.272279400E-02 6.865923000E-02 6.540266500E-02 6.293585900E-02 6.116389500E-02 5.997609800E-02 5.916820700E-02 5.883186400E-02 5.888221400E-02
1.549996187E+01 -6.777397000E-02 -6.833300500E-02 -6.910332900E-02 -7.023453900E-02 -7.189857600E-02 -7.430991500E-02 -7.773743400E-02 -8.249949700E-02 -8.892679500E-02 -9.727274000E-02 -1.075594640E-01 -1.193915690E-01 -1.318544020E-01 -1.436702070E-01 -1.536387580E-01 -1.523944240E-01 -1.313016040E-01 -1.140208500E-01 -9.932306800E-02
1.649996187E+01 4.990112800E-02 5.342790500E-02 5.601218300E-02 5.774517700E-02 5.872541200E-02 5.903425500E-02 5.873555100E-02 5.789004100E-02 5.657903100E-02 5.492628600E-02 5.310266300E-02 5.130253400E-02 4.969919800E-02 4.840210500E-02 4.744171300E-02 4.678703000E-02 4.638165200E-02 4.617338000E-02 4.612533800E-02
1.674996808E+01 6.299700700E-02 7.024777000E-02 7.578791500E-02 7.951150000E-02 8.145885300E-02 8.174225900E-02 8.052533700E-02 7.804668300E-02 7.465200800E-02 7.078747200E-02 6.692867900E-02 6.346919400E-02 6.063478600E-02 5.847445700E-02 5.691860200E-02 5.585552900E-02 5.518338500E-02 5.481740100E-02 5.468795200E-02
1.624993176E+01 1.610247900E-02 1.642643500E-02 1.678125600E-02 1.724341700E-02 1.788197000E-02 1.876219700E-02 1.994164500E-02 2.145376300E-02 2.327998700E-02 2.531931700E-02 2.738172400E-02 2.923551000E-02 3.070401800E-02 3.174729600E-02 3.245601600E-02 3.296834400E-02 3.339171600E-02 3.378095200E-02 3.415589300E-02
1.574996808E+01 -1.715026780E-01 -1.751212530E-01 -1.778079520E-01 -1.798953580E-01 -1.816563140E-01 -1.833190950E-01 -1.850817450E-01 -1.871180310E-01 -1.895694710E-01 -1.740782110E-01 -1.476317840E-01 -1.195171920E-01 -9.281146400E-02 -7.020487400E-02 -5.276680000E-02 -3.989306800E-02 -3.027303400E-02 -2.276126200E-02 -1.666112000E-02
1.524993176E+01 1.455406000E-02 1.494917000E-02 1.515908800E-02 1.520138400E-02 1.507969900E-02 1.478276200E-02 1.428594400E-02 1.355644800E-02 1.256475500E-02 1.130510900E-02 9.824009000E-03 8.245101000E-03 6.764030000E-03 5.587031000E-03 4.830895000E-03 2.964406000E-03 -1.727800500E-02 -3.074303600E-02 -3.909188800E-02
