T Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.000000000E+01 1.238476817E+00 1.211731597E+00 2.674522000E-02 1.229990948E+00 1.203785647E+00 2.620530100E-02 8.485869000E-03 7.945950000E-03
290 1.016672606E+01 1.238512390E+00 1.211767958E+00 2.674443200E-02 1.232219918E+00 1.205894227E+00 2.632569100E-02 6.292472000E-03 5.873731000E-03
290 1.033324570E+01 1.238564388E+00 1.211821117E+00 2.674327100E-02 1.233987103E+00 1.207559072E+00 2.642803100E-02 4.577285000E-03 4.262045000E-03
290 1.049996187E+01 1.238640390E+00 1.211898815E+00 2.674157500E-02 1.235361738E+00 1.208851540E+00 2.651019800E-02 3.278652000E-03 3.047275000E-03
290 1.066670514E+01 1.238751337E+00 1.212012269E+00 2.673906800E-02 1.236429423E+00 1.209856758E+00 2.657266500E-02 2.321914000E-03 2.155511000E-03
290 1.083333839E+01 1.238912965E+00 1.212177604E+00 2.673536100E-02 1.237280808E+00 1.210663274E+00 2.661753400E-02 1.632157000E-03 1.514330000E-03
290 1.100000000E+01 1.239147661E+00 1.212417802E+00 2.672985900E-02 1.238004711E+00 1.211357326E+00 2.664738500E-02 1.142950000E-03 1.060476000E-03
290 1.116672606E+01 1.239486855E+00 1.212765180E+00 2.672167500E-02 1.238686746E+00 1.212022319E+00 2.666442700E-02 8.001090000E-04 7.428610000E-04
290 1.133324570E+01 1.239973789E+00 1.213277400E+00 2.669638900E-02 1.239411917E+00 1.212753430E+00 2.665848700E-02 5.618720000E-04 5.239700000E-04
290 1.149996187E+01 1.240666283E+00 1.214016775E+00 2.664950800E-02 1.240268985E+00 1.213643960E+00 2.662502500E-02 3.972980000E-04 3.728150000E-04
290 1.166670514E+01 1.241638517E+00 1.215020179E+00 2.661833800E-02 1.241354480E+00 1.214752437E+00 2.660204300E-02 2.840370000E-04 2.677420000E-04
290 1.183333839E+01 1.242980196E+00 1.216398394E+00 2.658180200E-02 1.242773966E+00 1.216203277E+00 2.657068900E-02 2.062300000E-04 1.951170000E-04
290 1.200000000E+01 1.244790789E+00 1.218256523E+00 2.653426600E-02 1.244638025E+00 1.218111348E+00 2.652667700E-02 1.527640000E-04 1.451750000E-04
290 1.216672606E+01 1.247166639E+00 1.220694465E+00 2.647217400E-02 1.247050757E+00 1.220583728E+00 2.646702900E-02 1.158820000E-04 1.107370000E-04
290 1.233324570E+01 1.250180876E+00 1.223783403E+00 2.639747300E-02 1.250090679E+00 1.223696666E+00 2.639401300E-02 9.019700000E-05 8.673700000E-05
290 1.249996187E+01 1.253860709E+00 1.227550726E+00 2.630998300E-02 1.253788736E+00 1.227481020E+00 2.630771600E-02 7.197300000E-05 6.970600000E-05
290 1.266670514E+01 1.258172417E+00 1.231968254E+00 2.620416300E-02 1.258113766E+00 1.231911009E+00 2.620275700E-02 5.865100000E-05 5.724500000E-05
290 1.283333839E+01 1.263025423E+00 1.236941573E+00 2.608385000E-02 1.262976898E+00 1.236893845E+00 2.608305300E-02 4.852500000E-05 4.772800000E-05
290 1.300000000E+01 1.268297368E+00 1.242353975E+00 2.594339300E-02 1.268256873E+00 1.242313856E+00 2.594301700E-02 4.049500000E-05 4.011900000E-05
295 1.000000000E+01 1.239395387E+00 1.212853769E+00 2.654161800E-02 1.231691270E+00 1.205380584E+00 2.631068600E-02 7.704117000E-03 7.473185000E-03
295 1.016672606E+01 1.239428628E+00 1.212885477E+00 2.654315100E-02 1.233763345E+00 1.207394833E+00 2.636851200E-02 5.665283000E-03 5.490644000E-03
295 1.033324570E+01 1.239477229E+00 1.212931852E+00 2.654537700E-02 1.235380804E+00 1.208964625E+00 2.641617900E-02 4.096425000E-03 3.967227000E-03
295 1.049996187E+01 1.239548240E+00 1.212999668E+00 2.654857200E-02 1.236626671E+00 1.210171752E+00 2.645491900E-02 2.921569000E-03 2.827916000E-03
295 1.066670514E+01 1.239651839E+00 1.213098702E+00 2.655313700E-02 1.237589380E+00 1.211102989E+00 2.648639100E-02 2.062459000E-03 1.995713000E-03
295 1.083333839E+01 1.239802605E+00 1.213243047E+00 2.655955800E-02 1.238356386E+00 1.211843757E+00 2.651262900E-02 1.446219000E-03 1.399290000E-03
295 1.100000000E+01 1.240021190E+00 1.213452787E+00 2.656840300E-02 1.239010530E+00 1.212474768E+00 2.653576200E-02 1.010660000E-03 9.780190000E-04
295 1.116672606E+01 1.240336428E+00 1.213756184E+00 2.658024400E-02 1.239630281E+00 1.213072550E+00 2.655773100E-02 7.061470000E-04 6.836340000E-04
295 1.133324570E+01 1.240787661E+00 1.214192256E+00 2.659540500E-02 1.240292746E+00 1.213712760E+00 2.657998600E-02 4.949150000E-04 4.794960000E-04
295 1.149996187E+01 1.241426974E+00 1.214823767E+00 2.660320700E-02 1.241077773E+00 1.214482670E+00 2.659510300E-02 3.492010000E-04 3.410970000E-04
295 1.166670514E+01 1.242320405E+00 1.215717184E+00 2.660322100E-02 1.242071348E+00 1.215471083E+00 2.660026500E-02 2.490570000E-04 2.461010000E-04
295 1.183333839E+01 1.243546905E+00 1.216921239E+00 2.662566600E-02 1.243366519E+00 1.216742983E+00 2.662353600E-02 1.803860000E-04 1.782560000E-04
295 1.200000000E+01 1.245193344E+00 1.218545965E+00 2.664737900E-02 1.245060028E+00 1.218414292E+00 2.664573600E-02 1.333160000E-04 1.316730000E-04
295 1.216672606E+01 1.247344237E+00 1.220686637E+00 2.665760000E-02 1.247243258E+00 1.220586845E+00 2.665641300E-02 1.009790000E-04 9.979200000E-05
295 1.233324570E+01 1.250066139E+00 1.223428368E+00 2.663777100E-02 1.249987541E+00 1.223350348E+00 2.663719300E-02 7.859800000E-05 7.802000000E-05
295 1.249996187E+01 1.253389681E+00 1.226779523E+00 2.661015800E-02 1.253326828E+00 1.226716960E+00 2.660986800E-02 6.285300000E-05 6.256300000E-05
295 1.266670514E+01 1.257296558E+00 1.230740327E+00 2.655623100E-02 1.257245098E+00 1.230688881E+00 2.655621700E-02 5.146000000E-05 5.144600000E-05
295 1.283333839E+01 1.261720643E+00 1.235249636E+00 2.647100700E-02 1.261677768E+00 1.235206576E+00 2.647119200E-02 4.287500000E-05 4.306000000E-05
295 1.300000000E+01 1.266566499E+00 1.240205921E+00 2.636057800E-02 1.266530397E+00 1.240169456E+00 2.636094100E-02 3.610200000E-05 3.646500000E-05
300 1.000000000E+01 1.240580689E+00 1.214987394E+00 2.559329500E-02 1.233309044E+00 1.207555174E+00 2.575387000E-02 7.271645000E-03 7.432220000E-03
300 1.016672606E+01 1.240614368E+00 1.215015278E+00 2.559909000E-02 1.235325581E+00 1.209592105E+00 2.573347600E-02 5.288787000E-03 5.423173000E-03
300 1.033324570E+01 1.240663606E+00 1.215056076E+00 2.560753000E-02 1.236870520E+00 1.211156580E+00 2.571394000E-02 3.793086000E-03 3.899496000E-03
300 1.049996187E+01 1.240735471E+00 1.215115740E+00 2.561973100E-02 1.238046587E+00 1.212345944E+00 2.570064300E-02 2.688884000E-03 2.769796000E-03
300 1.066670514E+01 1.240840157E+00 1.215202888E+00 2.563726900E-02 1.238950659E+00 1.213253632E+00 2.569702700E-02 1.889498000E-03 1.949256000E-03
300 1.083333839E+01 1.240992137E+00 1.215329913E+00 2.566222400E-02 1.239672061E+00 1.213966575E+00 2.570548600E-02 1.320076000E-03 1.363338000E-03
300 1.100000000E+01 1.241211737E+00 1.215514508E+00 2.569722900E-02 1.240292190E+00 1.214564025E+00 2.572816500E-02 9.195470000E-04 9.504830000E-04
300 1.116672606E+01 1.241526922E+00 1.215781547E+00 2.574537500E-02 1.240886454E+00 1.215119113E+00 2.576734100E-02 6.404680000E-04 6.624340000E-04
300 1.133324570E+01 1.241975134E+00 1.216165414E+00 2.580972000E-02 1.241527776E+00 1.215702489E+00 2.582528700E-02 4.473580000E-04 4.629250000E-04
300 1.149996187E+01 1.242604637E+00 1.216712299E+00 2.589233800E-02 1.242290239E+00 1.216386844E+00 2.590339500E-02 3.143980000E-04 3.254550000E-04
300 1.166670514E+01 1.243474620E+00 1.217488750E+00 2.598587000E-02 1.243251435E+00 1.217255292E+00 2.599614300E-02 2.231850000E-04 2.334580000E-04
300 1.183333839E+01 1.244653085E+00 1.218557044E+00 2.609604100E-02 1.244492315E+00 1.218388102E+00 2.610421300E-02 1.607700000E-04 1.689420000E-04
300 1.200000000E+01 1.246211806E+00 1.219992506E+00 2.621930000E-02 1.246093684E+00 1.219868869E+00 2.622481500E-02 1.181220000E-04 1.236370000E-04
300 1.216672606E+01 1.248218318E+00 1.221885151E+00 2.633316700E-02 1.248129361E+00 1.221792431E+00 2.633693000E-02 8.895700000E-05 9.272000000E-05
300 1.233324570E+01 1.250725330E+00 1.224309123E+00 2.641620700E-02 1.250656415E+00 1.224237219E+00 2.641919600E-02 6.891500000E-05 7.190400000E-05
300 1.249996187E+01 1.253758884E+00 1.227297564E+00 2.646132000E-02 1.253703913E+00 1.227240376E+00 2.646353700E-02 5.497100000E-05 5.718800000E-05
300 1.266670514E+01 1.257308921E+00 1.230843800E+00 2.646512100E-02 1.257263911E+00 1.230796941E+00 2.646697000E-02 4.501000000E-05 4.685900000E-05
300 1.283333839E+01 1.261328941E+00 1.234917327E+00 2.641161400E-02 1.261291318E+00 1.234878058E+00 2.641326000E-02 3.762300000E-05 3.926900000E-05
300 1.300000000E+01 1.265748551E+00 1.239423119E+00 2.632543200E-02 1.265716684E+00 1.239389760E+00 2.632692400E-02 3.186700000E-05 3.335900000E-05
305 1.000000000E+01 1.241316746E+00 1.217368724E+00 2.394802200E-02 1.234147551E+00 1.209717228E+00 2.443032300E-02 7.169195000E-03 7.651496000E-03
305 1.016672606E+01 1.241355576E+00 1.217393970E+00 2.396160600E-02 1.236205499E+00 1.211858062E+00 2.434743700E-02 5.150077000E-03 5.535908000E-03
305 1.033324570E+01 1.241412269E+00 1.217430918E+00 2.398135100E-02 1.237753601E+00 1.213475343E+00 2.427825800E-02 3.658668000E-03 3.955575000E-03
305 1.049996187E+01 1.241494889E+00 1.217484957E+00 2.400993200E-02 1.238919994E+00 1.214688534E+00 2.423146000E-02 2.574895000E-03 2.796423000E-03
305 1.066670514E+01 1.241614924E+00 1.217563877E+00 2.405104700E-02 1.239815669E+00 1.215603164E+00 2.421250500E-02 1.799255000E-03 1.960713000E-03
305 1.083333839E+01 1.241788527E+00 1.217678900E+00 2.410962700E-02 1.240537275E+00 1.216311931E+00 2.422534400E-02 1.251252000E-03 1.366969000E-03
305 1.100000000E+01 1.242037986E+00 1.217846009E+00 2.419197700E-02 1.241169980E+00 1.216895991E+00 2.427398900E-02 8.680060000E-04 9.500180000E-04
305 1.116672606E+01 1.242393229E+00 1.218087693E+00 2.430553600E-02 1.241791174E+00 1.217427883E+00 2.436329100E-02 6.020550000E-04 6.598100000E-04
