G/w f
1.0000000E+6 2.3057923E-5
8.9779585E+5 2.4106277E-5
8.0603739E+5 2.5501893E-5
7.2365703E+5 2.6957899E-5
6.4969628E+5 2.8595534E-5
5.8329463E+5 3.0431973E-5
5.2367949E+5 3.2487121E-5
4.7015728E+5 3.4742788E-5
4.2210526E+5 3.7038068E-5
3.7896435E+5 3.9731659E-5
3.4023262E+5 4.2634154E-5
3.0545943E+5 4.5784906E-5
2.7424021E+5 4.9242134E-5
2.4621173E+5 5.3013394E-5
2.2104787E+5 5.7173021E-5
1.9845586E+5 6.1681609E-5
1.7817285E+5 6.6729409E-5
1.5996284E+5 7.2217866E-5
1.4361398E+5 7.8326574E-5
1.2893603E+5 8.5112784E-5
1.1575824E+5 9.2622762E-5
1.0392726E+5 1.0100304E-4
9.3305466E+4 1.1029780E-4
8.3769261E+4 1.2060952E-4
7.5207695E+4 1.3208193E-4
6.7521156E+4 1.4481463E-4
6.0620214E+4 1.5898896E-4
5.4424577E+4 1.7479865E-4
4.8862159E+4 1.9230104E-4
4.3868244E+4 2.1182008E-4
3.9384728E+4 2.3344392E-4
3.5359445E+4 2.5746756E-4
3.1745563E+4 2.8433302E-4
2.8501035E+4 3.1389464E-4
2.5588111E+4 3.4687908E-4
2.2972900E+4 3.8371113E-4
2.0624974E+4 4.2450967E-4
1.8517016E+4 4.6986945E-4
1.6624501E+4 5.2042730E-4
1.4925408E+4 5.7676602E-4
1.3399969E+4 6.3936594E-4
1.2030437E+4 7.0925118E-4
1.0800876E+4 7.8679260E-4
9.6969820E+3 8.7343483E-4
8.7059100E+3 9.6982521E-4
7.8161300E+3 1.0770217E-3
7.0172890E+3 1.1963971E-3
6.3000930E+3 1.3290465E-3
5.6561970E+3 1.4772823E-3
5.0781110E+3 1.6430184E-3
4.5591070E+3 1.8271820E-3
4.0931470E+3 2.0327489E-3
3.6748100E+3 2.2618887E-3
3.2992300E+3 2.5164297E-3
2.9620350E+3 2.8003919E-3
2.6593020E+3 3.1168297E-3
2.3875110E+3 3.4690204E-3
2.1434970E+3 3.8616226E-3
1.9244230E+3 4.3003681E-3
1.7277390E+3 4.7887242E-3
1.5511570E+3 5.3328572E-3
1.3926220E+3 5.9378730E-3
1.2502900E+3 6.6066465E-3
1.1225050E+3 7.3561702E-3
1.0077810E+3 8.1929289E-3
9.0478100E+2 9.1233309E-3
8.1230900E+2 1.0161815E-2
7.2928800E+2 1.1314324E-2
6.5475100E+2 1.2599200E-2
5.8783300E+2 1.4038243E-2
5.2775400E+2 1.5633999E-2
4.7381500E+2 1.7395426E-2
4.2539000E+2 1.9385047E-2
3.8191300E+2 2.1583076E-2
3.4288000E+2 2.4041603E-2
3.0783600E+2 2.6771102E-2
2.7637400E+2 2.9823428E-2
2.4812700E+2 3.3208916E-2
2.2276800E+2 3.6978918E-2
2.0000000E+2 4.1184475E-2
