f G/w
1.0000000E+6 1.0884578E-5
8.9779585E+5 1.0679520E-5
8.0603739E+5 1.0576171E-5
7.2365703E+5 1.0358382E-5
6.4969628E+5 1.0122564E-5
5.8329463E+5 9.6910663E-6
5.2367949E+5 9.4590173E-6
4.7015728E+5 9.1847157E-6
4.2210526E+5 8.8775341E-6
3.7896435E+5 8.5293437E-6
3.4023262E+5 8.1499135E-6
3.0545943E+5 7.7698483E-6
2.7424021E+5 7.3792618E-6
2.4621173E+5 7.0115714E-6
2.2104787E+5 6.6517686E-6
1.9845586E+5 6.2938753E-6
1.7817285E+5 5.9951679E-6
1.5996284E+5 5.6853878E-6
1.4361398E+5 5.4028838E-6
1.2893603E+5 5.1736819E-6
1.1575824E+5 4.9504405E-6
1.0392726E+5 4.7783018E-6
9.3305466E+4 4.6237275E-6
8.3769261E+4 4.5124543E-6
7.5207695E+4 4.3980276E-6
6.7521156E+4 4.3145792E-6
6.0620214E+4 4.2576677E-6
5.4424577E+4 4.2200025E-6
4.8862159E+4 4.2099750E-6
4.3868244E+4 4.2277530E-6
3.9384728E+4 4.2364498E-6
3.5359445E+4 4.3385627E-6
3.1745563E+4 4.5127526E-6
2.8501035E+4 4.5797204E-6
2.5588111E+4 4.7191264E-6
2.2972900E+4 4.9941886E-6
2.0624974E+4 5.2250689E-6
1.8517016E+4 5.4942237E-6
1.6624501E+4 5.7844799E-6
1.4925408E+4 6.2308444E-6
1.3399969E+4 6.6670856E-6
1.2030437E+4 7.2308971E-6
1.0800876E+4 7.9292610E-6
9.6969820E+3 8.5672808E-6
8.7059100E+3 9.4469588E-6
7.8161300E+3 1.0154156E-5
7.0172890E+3 1.1210040E-5
6.3000930E+3 1.2463488E-5
5.6561970E+3 1.3830774E-5
5.0781110E+3 1.5064658E-5
4.5591070E+3 1.6828260E-5
4.0931470E+3 1.8620441E-5
3.6748100E+3 2.0693799E-5
3.2992300E+3 2.3137923E-5
2.9620350E+3 2.5541778E-5
2.6593020E+3 2.8143573E-5
2.3875110E+3 3.1573635E-5
2.1434970E+3 3.4983641E-5
1.9244230E+3 3.8700098E-5
1.7277390E+3 4.3565041E-5
1.5511570E+3 4.8574831E-5
1.3926220E+3 5.3521499E-5
1.2502900E+3 5.9542811E-5
1.1225050E+3 6.5529373E-5
1.0077810E+3 7.4080627E-5
9.0478100E+2 8.1006303E-5
8.1230900E+2 9.0886812E-5
7.2928800E+2 1.0245958E-4
6.5475100E+2 1.1342233E-4
5.8783300E+2 1.2526314E-4
5.2775400E+2 1.4146317E-4
4.7381500E+2 1.5842341E-4
4.2539000E+2 1.7638662E-4
3.8191300E+2 1.9150813E-4
3.4288000E+2 2.1449217E-4
3.0783600E+2 2.4477550E-4
2.7637400E+2 2.7338442E-4
2.4812700E+2 3.0307915E-4
2.2276800E+2 3.3733702E-4
2.0000000E+2 3.7231693E-4
