T Bo105 Bo175 Bo315 Bo565 Bo106 Bo176 Bo316 Bo566 Bo107
Bo 1.500000000E+01 1.524993176E+01 1.549996187E+01 1.574996808E+01 1.600000000E+01 1.624993176E+01 1.649996187E+01 1.674996808E+01 1.700000000E+01
290 1.207866472E+00 1.214316215E+00 1.221016278E+00 1.231911009E+00 1.241461766E+00 1.247423208E+00 1.253918100E+00 1.266753121E+00 1.286641955E+00
295 1.206562401E+00 1.213359130E+00 1.220456666E+00 1.230688881E+00 1.240890922E+00 1.247005220E+00 1.253535017E+00 1.266103967E+00 1.285544619E+00
300 1.205536061E+00 1.213359462E+00 1.220307267E+00 1.230796941E+00 1.241077521E+00 1.247556324E+00 1.253753404E+00 1.266072058E+00 1.285395901E+00
305 1.203873758E+00 1.213714569E+00 1.221162465E+00 1.231618865E+00 1.241770507E+00 1.248635860E+00 1.255366977E+00 1.267268019E+00 1.285772536E+00
310 1.200170762E+00 1.213952843E+00 1.222404606E+00 1.233014764E+00 1.243505843E+00 1.250754920E+00 1.257664363E+00 1.269274053E+00 1.287545695E+00
315 1.190580627E+00 1.212849904E+00 1.223545959E+00 1.234512301E+00 1.245565572E+00 1.253408364E+00 1.260121574E+00 1.271599556E+00 1.290094403E+00
320 1.167771952E+00 1.209426148E+00 1.224526762E+00 1.236423453E+00 1.247657895E+00 1.256032412E+00 1.263357897E+00 1.274899116E+00 1.292859991E+00
325 1.119166448E+00 1.199488760E+00 1.224197521E+00 1.238058609E+00 1.250084031E+00 1.259008223E+00 1.266827719E+00 1.278471723E+00 1.296328669E+00
330 1.031720276E+00 1.176244670E+00 1.220729326E+00 1.238895701E+00 1.252285822E+00 1.261981408E+00 1.270046411E+00 1.281844892E+00 1.299920450E+00
335 1.019531683E+00 1.128025295E+00 1.211020318E+00 1.238403308E+00 1.253732027E+00 1.264435826E+00 1.273505804E+00 1.285616215E+00 1.303305975E+00
340 1.021979523E+00 1.043155161E+00 1.188766401E+00 1.234857867E+00 1.254429546E+00 1.266666162E+00 1.276634534E+00 1.289177865E+00 1.306855185E+00
