T d154 d184 d214 d244
d 150 180 210 240
290 1.030521000E-03 1.010263000E-03 9.972220000E-04 9.901060000E-04
295 9.607490000E-04 9.414790000E-04 9.290850000E-04 9.223240000E-04
300 8.822690000E-04 8.633290000E-04 8.520370000E-04 8.450930000E-04
305 7.992910000E-04 7.804360000E-04 7.708320000E-04 7.641920000E-04
310 7.170610000E-04 6.987970000E-04 6.904580000E-04 6.845910000E-04
315 6.405210000E-04 6.238570000E-04 6.155470000E-04 6.106750000E-04
320 5.733600000E-04 5.579220000E-04 5.496810000E-04 5.461220000E-04
325 5.187440000E-04 5.046810000E-04 4.970070000E-04 4.932150000E-04
330 4.791930000E-04 4.658140000E-04 4.589360000E-04 4.548070000E-04
335 4.553650000E-04 4.428110000E-04 4.364500000E-04 4.322920000E-04
340 4.476930000E-04 4.363340000E-04 4.305270000E-04 4.260270000E-04
