T d154 d184 d214 d244
d 150 180 210 240
290 8.035090000E-04 7.941980000E-04 7.878510000E-04 7.846570000E-04
295 7.563730000E-04 7.477280000E-04 7.417240000E-04 7.387410000E-04
300 7.010120000E-04 6.923480000E-04 6.869950000E-04 6.836900000E-04
305 6.402470000E-04 6.312450000E-04 6.269900000E-04 6.237690000E-04
310 5.779060000E-04 5.688350000E-04 5.653970000E-04 5.625880000E-04
315 5.177270000E-04 5.094300000E-04 5.057190000E-04 5.035590000E-04
320 4.626570000E-04 4.547900000E-04 4.508450000E-04 4.496270000E-04
325 4.153760000E-04 4.081090000E-04 4.043380000E-04 4.027880000E-04
330 3.781560000E-04 3.709390000E-04 3.675450000E-04 3.656170000E-04
335 3.517490000E-04 3.447990000E-04 3.416330000E-04 3.395690000E-04
340 3.368490000E-04 3.305620000E-04 3.276880000E-04 3.252980000E-04
