fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_320 001_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.390666058E-14 1.000000000E+20 1.204267585E+00 2.189533374E-15 1.174250892E-04 
001_320_SRH 001_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.262668165E-14 1.000000000E+20 1.228496504E+00 2.014794352E-15 2.392955828E-04 
002_320 002_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.952348293E-14 1.000000000E+20 1.211794609E+00 3.125078754E-15 1.432773252E-04 
002_320_SRH 002_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.832024225E-14 1.000000000E+20 1.228850147E+00 2.954150376E-15 2.422711908E-04 
003_320 003_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.753965924E-14 1.000000000E+20 1.217497129E+00 4.496795766E-15 1.684266297E-04 
003_320_SRH 003_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.644645445E-14 1.000000000E+20 1.229354322E+00 4.329513589E-15 2.466107698E-04 
004_320 004_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.884572655E-14 1.000000000E+20 1.221904364E+00 6.504735270E-15 1.924418543E-04 
004_320_SRH 004_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.790703243E-14 1.000000000E+20 1.230064498E+00 6.341348343E-15 2.529205853E-04 
005_320 005_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.453528381E-14 1.000000000E+20 1.225480059E+00 9.439548702E-15 2.158195196E-04 
005_320_SRH 005_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.380847116E-14 1.000000000E+20 1.231047111E+00 9.280686025E-15 2.620555843E-04 
006_320 006_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.584466546E-14 1.000000000E+20 1.228606750E+00 1.372255432E-14 2.399183680E-04 
006_320_SRH 006_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.539986220E-14 1.000000000E+20 1.232374117E+00 1.356917414E-14 2.751999001E-04 
007_320 007_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.140100792E-13 1.000000000E+20 1.231579757E+00 1.996378861E-14 2.668066653E-04 
007_320_SRH 007_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.039264800E-13 1.000000000E+20 1.234108947E+00 1.981707486E-14 2.939477731E-04 
008_320 008_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.500567035E-13 1.000000000E+20 1.234599085E+00 2.904726639E-14 2.991215935E-04 
008_320_SRH 008_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.404138617E-13 1.000000000E+20 1.236283233E+00 2.890844681E-14 3.203647600E-04 
009_320 009_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.946149695E-13 1.000000000E+20 1.237759187E+00 4.225809391E-14 3.399366084E-04 
009_320_SRH 009_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.854793598E-13 1.000000000E+20 1.238871763E+00 4.212818571E-14 3.569812080E-04 
010_320 010_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.479329168E-13 1.000000000E+20 1.241044288E+00 6.147330914E-14 3.925827726E-04 
010_320_SRH 010_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.393432129E-13 1.000000000E+20 1.241774303E+00 6.135286737E-14 4.066681389E-04 
011_320 011_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.102083501E-13 1.000000000E+20 1.244349024E+00 8.944665277E-14 4.603679598E-04 
011_320_SRH 011_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.021654902E-13 1.000000000E+20 1.244825699E+00 8.933558682E-14 4.723691725E-04 
012_320 012_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.820383088E-13 1.000000000E+20 1.248570660E+00 1.306054990E-13 5.448657735E-04 
012_320_SRH 012_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.745326411E-13 1.000000000E+20 1.248664857E+00 1.304175227E-13 5.556488832E-04 
013_320 013_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.652094203E-13 1.000000000E+20 1.251615253E+00 1.903385769E-13 6.491139882E-04 
013_320_SRH 013_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.581962530E-13 1.000000000E+20 1.251993051E+00 1.903005657E-13 6.576859727E-04 
014_320 014_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.624190829E-13 1.000000000E+20 1.253826986E+00 2.773930050E-13 7.737380810E-04 
014_320_SRH 014_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.557708339E-13 1.000000000E+20 1.254021645E+00 2.773439489E-13 7.819749110E-04 
015_320 015_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.771384496E-13 1.000000000E+20 1.255855519E+00 4.049373930E-13 9.242553979E-04 
015_320_SRH 015_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 6.707921887E-13 1.000000000E+20 1.255942767E+00 4.048551607E-13 9.319037961E-04 
016_320 016_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.168856758E-13 1.000000000E+20 1.267198804E+00 5.945000982E-13 1.114583200E-03 
016_320_SRH 016_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 8.109178919E-13 1.000000000E+20 1.267693450E+00 5.945613624E-13 1.123251342E-03 
017_320 017_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.811236824E-13 1.000000000E+20 1.270021794E+00 8.700056193E-13 1.321143956E-03 
017_320_SRH 017_320_srh.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 9.751546606E-13 1.000000000E+20 1.270109521E+00 8.700295373E-13 1.329382589E-03 
018_320 018_320.dat 320 36.23 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.175654357E-12 1.000000000E+20 1.271470341E+00 1.273624022E-12 1.559511800E-03 
