  i	       x(um)	        y	      Ec(eV)	      Fn(eV)	      Fp(eV)	      Ev(eV)	     n(/cm3)	     p(/cm3)	rho(defect) (/cm3)	net doping (/cm3)	   rho(/cm3)	     E(V/cm)	  jn(mA/cm2)	  jp(mA/cm2)	  jn_tunnel(mA/cm2)	  jp_tunnel(mA/cm2)	jtot(mA/cm2)	 generation(#/cm3.s)	  recombination(#/cm3.s)	cumulative generation (mA/cm2)	cumulative recombination L to R (mA/cm2)	cumulative recombination R to L (mA/cm2)

   0	       0.000000	     0.00000000	     1.00403689	     0.26752904	    -0.00000000	    -0.05992761	   4.41303685e+08	   4.11833696e+18	   0.00000000e+00	  -2.60000000e+18	   1.51833696e+18	  -5.37025434e+04	   1.52969811e+00	  -3.02098513e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801531e+01	   1.65834180e+19	    7.53712912e+14	   3.30033070e+01	    1.52969811e+00	    4.31714178e+00
   1	       0.000100	     0.00001290	     1.00351085	     0.26863150	    -0.00000000	    -0.06045310	   4.66478842e+08	   4.04526522e+18	   0.00000000e+00	  -2.60009634e+18	   1.44516888e+18	  -5.15052167e+04	   1.52968474e+00	  -3.02098804e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801956e+01	   1.65836774e+19	    7.68692626e+14	   3.30032804e+01	    1.52969811e+00	    2.78744366e+00
   2	       0.000201	     0.00002599	     1.00299993	     0.26969004	    -0.00000000	    -0.06096347	   4.92099377e+08	   3.97553757e+18	   0.00000000e+00	  -2.60019403e+18	   1.37534354e+18	  -4.93311375e+04	   1.52965762e+00	  -3.02098601e+01	   0.00000000e+00	   0.00000000e+00	  -2.86802024e+01	   1.65839401e+19	    7.83201090e+14	   3.30032535e+01	    1.52969812e+00	    2.78744366e+00
   3	       0.000307	     0.00003961	     1.00249085	     0.27073498	    -0.00000000	    -0.06147198	   5.18853988e+08	   3.90726006e+18	   0.00000000e+00	  -2.60029573e+18	   1.30696432e+18	  -4.71786124e+04	   1.52962938e+00	  -3.02098018e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801724e+01	   1.65842136e+19	    7.97664833e+14	   3.30032255e+01	    1.52969812e+00	    2.78744366e+00
   4	       0.000420	     0.00005414	     1.00197203	     0.27179213	    -0.00000000	    -0.06199018	   5.47472490e+08	   3.83888635e+18	   0.00000000e+00	  -2.60040427e+18	   1.23848208e+18	  -4.49988503e+04	   1.52959924e+00	  -3.02097913e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801920e+01	   1.65845054e+19	    8.12466280e+14	   3.30031955e+01	    1.52969812e+00	    2.78744366e+00
   5	       0.000543	     0.00007001	     1.00143287	     0.27288493	    -0.00000000	    -0.06252867	   5.78772281e+08	   3.76910394e+18	   0.00000000e+00	  -2.60052277e+18	   1.16858117e+18	  -4.27483937e+04	   1.52956631e+00	  -3.02097625e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801962e+01	   1.65848241e+19	    8.27977215e+14	   3.30031629e+01	    1.52969812e+00	    2.78744366e+00
   6	       0.000680	     0.00008770	     1.00086336	     0.27403581	    -0.00000000	    -0.06309743	   6.13707825e+08	   3.69677558e+18	   0.00000000e+00	  -2.60065491e+18	   1.09612067e+18	  -4.03874046e+04	   1.52952957e+00	  -3.02097239e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801944e+01	   1.65851794e+19	    8.44586663e+14	   3.30031264e+01	    1.52969812e+00	    2.78744366e+00
   7	       0.000836	     0.00010782	     1.00025397	     0.27526719	    -0.00000000	    -0.06370597	   6.53426268e+08	   3.62092488e+18	   0.00000000e+00	  -2.60080515e+18	   1.02011973e+18	  -3.78792182e+04	   1.52948777e+00	  -3.02096878e+01	   0.00000000e+00	   0.00000000e+00	  -2.86802000e+01	   1.65855834e+19	    8.62728279e+14	   3.30030850e+01	    1.52969812e+00	    2.78744365e+00
   8	       0.001016	     0.00013110	     0.99959585	     0.27660201	    -0.00000000	    -0.06436311	   6.99331459e+08	   3.54076319e+18	   0.00000000e+00	  -2.60097901e+18	   9.39784181e+17	  -3.51911993e+04	   1.52943936e+00	  -3.02096347e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801954e+01	   1.65860509e+19	    8.82911922e+14	   3.30030371e+01	    1.52969813e+00	    2.78744365e+00
   9	       0.001228	     0.00015847	     0.99888140	     0.27806410	    -0.00000000	    -0.06507639	   7.53157358e+08	   3.45575937e+18	   0.00000000e+00	  -2.60118349e+18	   8.54575883e+17	  -3.22971071e+04	   1.52938237e+00	  -3.02095709e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801886e+01	   1.65866007e+19	    9.05764988e+14	   3.30029807e+01	    1.52969813e+00	    2.78744365e+00
  10	       0.001481	     0.00019114	     0.99810538	     0.27967819	    -0.00000000	    -0.06585103	   8.17049453e+08	   3.36575433e+18	   0.00000000e+00	  -2.60142752e+18	   7.64326813e+17	  -2.91812571e+04	   1.52931431e+00	  -3.02095053e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801910e+01	   1.65872568e+19	    9.32091175e+14	   3.30029134e+01	    1.52969813e+00	    2.78744364e+00
  11	       0.001787	     0.00023064	     0.99726654	     0.28146980	    -0.00000000	    -0.06668820	   8.93649089e+08	   3.27111778e+18	   0.00000000e+00	  -2.60172261e+18	   6.69395168e+17	  -2.58446932e+04	   1.52923194e+00	  -3.02094282e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801963e+01	   1.65880502e+19	    9.62957609e+14	   3.30028321e+01	    1.52969814e+00	    2.78744364e+00
  12	       0.002162	     0.00027897	     0.99636993	     0.28346497	    -0.00000000	    -0.06758276	   9.86170443e+08	   3.17293253e+18	   0.00000000e+00	  -2.60208371e+18	   5.70848824e+17	  -2.23132387e+04	   1.52913108e+00	  -3.02093231e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801920e+01	   1.65890210e+19	    9.99825393e+14	   3.30027325e+01	    1.52969814e+00	    2.78744363e+00
  13	       0.002625	     0.00033872	     0.99542967	     0.28568992	    -0.00000000	    -0.06852049	   1.09845563e+09	   3.07317059e+18	   0.00000000e+00	  -2.60253026e+18	   4.70640322e+17	  -1.86464942e+04	   1.52900626e+00	  -3.02091978e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801915e+01	   1.65902214e+19	    1.04474238e+15	   3.30026095e+01	    1.52969815e+00	    2.78744363e+00
  14	       0.003203	     0.00041330	     0.99447152	     0.28817090	    -0.00000000	    -0.06947548	   1.23499700e+09	   2.97479589e+18	   0.00000000e+00	  -2.60308766e+18	   3.71708232e+17	  -1.49454707e+04	   1.52885038e+00	  -3.02090433e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801929e+01	   1.65917196e+19	    1.10061786e+15	   3.30024559e+01	    1.52969816e+00	    2.78744362e+00
  15	       0.003930	     0.00050711	     0.99353424	     0.29093439	    -0.00000000	    -0.07040879	   1.40094250e+09	   2.88169794e+18	   0.00000000e+00	  -2.60378907e+18	   2.77908872e+17	  -1.13546518e+04	   1.52865414e+00	  -3.02088465e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801923e+01	   1.65936047e+19	    1.17159235e+15	   3.30022626e+01	    1.52969817e+00	    2.78744360e+00
  16	       0.004851	     0.00062596	     0.99266764	     0.29400745	    -0.00000000	    -0.07127037	   1.60217220e+09	   2.79834423e+18	   0.00000000e+00	  -2.60467787e+18	   1.93666358e+17	  -8.05255464e+03	   1.52840540e+00	  -3.02085983e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801929e+01	   1.65959931e+19	    1.26349562e+15	   3.30020177e+01	    1.52969819e+00	    2.78744359e+00
  17	       0.006025	     0.00077739	     0.99192540	     0.29741804	    -0.00000000	    -0.07200620	   1.84566129e+09	   2.72906730e+18	   0.00000000e+00	  -2.60581076e+18	   1.23256541e+17	  -5.22505560e+03	   1.52808832e+00	  -3.02082815e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801932e+01	   1.65990368e+19	    1.38434910e+15	   3.30017057e+01	    1.52969822e+00	    2.78744356e+00
  18	       0.007527	     0.00097123	     0.99135193	     0.30119435	    -0.00000000	    -0.07257146	   2.14046787e+09	   2.67701575e+18	   0.00000000e+00	  -2.60726168e+18	   6.97540667e+16	  -3.02074949e+03	   1.52768224e+00	  -3.02078760e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801937e+01	   1.66029340e+19	    1.54482163e+15	   3.30013062e+01	    1.52969825e+00	    2.78744352e+00
  19	       0.009457	     0.00122026	     0.99096645	     0.30536200	    -0.00000000	    -0.07294640	   2.49962068e+09	   2.64303934e+18	   0.00000000e+00	  -2.60912690e+18	   3.39124297e+16	  -1.49970798e+03	   1.52716034e+00	  -3.02073537e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801934e+01	   1.66079425e+19	    1.75853707e+15	   3.30007927e+01	    1.52969830e+00	    2.78744347e+00
  20	       0.011943	     0.00154103	     0.99075296	     0.30993872	    -0.00000000	    -0.07314631	   2.94270842e+09	   2.62509979e+18	   0.00000000e+00	  -2.61153138e+18	   1.35684052e+16	  -6.02374078e+02	   1.52648788e+00	  -3.02066810e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801931e+01	   1.66143965e+19	    2.04226045e+15	   3.30001312e+01	    1.52969838e+00	    2.78744340e+00
  21	       0.015150	     0.00195484	     0.99066587	     0.31492763	    -0.00000000	    -0.07321588	   3.49823352e+09	   2.61888506e+18	   0.00000000e+00	  -2.61463662e+18	   4.24843283e+15	  -1.67979341e+02	   1.52562007e+00	  -3.02058133e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801933e+01	   1.66227270e+19	    2.41632725e+15	   3.29992774e+01	    1.52969849e+00	    2.78744328e+00
  22	       0.019290	     0.00248902	     0.99065168	     0.32031261	    -0.00000000	    -0.07320746	   4.20466748e+09	   2.61963685e+18	   0.00000000e+00	  -2.61865053e+18	   9.86310776e+14	  -3.22783750e+00	   1.52449946e+00	  -3.02046924e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801929e+01	   1.66334881e+19	    2.90595896e+15	   3.29981746e+01	    1.52969867e+00	    2.78744311e+00
  23	       0.024632	     0.00317833	     0.99067135	     0.32605865	    -0.00000000	    -0.07315861	   5.11040678e+09	   2.62400048e+18	   0.00000000e+00	  -2.62383927e+18	   1.61200064e+14	   4.33760770e+01	   1.52305286e+00	  -3.02032461e+01	   0.00000000e+00	   0.00000000e+00	  -2.86801932e+01	   1.66473870e+19	    3.54372700e+15	   3.29967505e+01	    1.52969895e+00	    2.78744283e+00
