N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 1.210945576E+00 1.207708067E+00 1.199213046E+00 1.179781046E+00 1.139814925E+00 1.066599965E+00 1.012546190E+00 1.013311954E+00 1.015680758E+00 1.020170953E+00 1.027469131E+00
1.016672606E+01 1.210999251E+00 1.207787176E+00 1.199351201E+00 1.180041636E+00 1.140302309E+00 1.067435890E+00 1.012548373E+00 1.013301691E+00 1.015654297E+00 1.020123276E+00 1.027394622E+00
1.033324570E+01 1.211077454E+00 1.207902216E+00 1.199551804E+00 1.180419782E+00 1.141009714E+00 1.068650569E+00 1.012551781E+00 1.013286969E+00 1.015615982E+00 1.020054041E+00 1.027286243E+00
1.049996187E+01 1.211191088E+00 1.208068844E+00 1.199841673E+00 1.180965663E+00 1.142031166E+00 1.070407435E+00 1.012557217E+00 1.013266086E+00 1.015560856E+00 1.019954001E+00 1.027129265E+00
1.066670514E+01 1.211355521E+00 1.208308764E+00 1.200257585E+00 1.181747707E+00 1.143495030E+00 1.072931174E+00 1.012566105E+00 1.013236959E+00 1.015482283E+00 1.019810508E+00 1.026903293E+00
1.083333839E+01 1.211591992E+00 1.208651333E+00 1.200848313E+00 1.182855869E+00 1.145570194E+00 1.076520687E+00 1.012581033E+00 1.013197377E+00 1.015371840E+00 1.019606883E+00 1.026580930E+00
1.100000000E+01 1.211929119E+00 1.209134638E+00 1.201675276E+00 1.184401720E+00 1.148466179E+00 1.081552981E+00 1.012606768E+00 1.013145763E+00 1.015219767E+00 1.019322440E+00 1.026127080E+00
1.116672606E+01 1.212404059E+00 1.209805336E+00 1.202809805E+00 1.186510983E+00 1.152418487E+00 1.088462864E+00 1.012652108E+00 1.013082957E+00 1.015016738E+00 1.018934154E+00 1.025500254E+00
1.133324570E+01 1.213062570E+00 1.210715645E+00 1.204323869E+00 1.189302148E+00 1.157646254E+00 1.097673902E+00 1.012733063E+00 1.013015782E+00 1.014758097E+00 1.018421731E+00 1.024658321E+00
1.149996187E+01 1.213957261E+00 1.211916299E+00 1.206272056E+00 1.192846187E+00 1.164270581E+00 1.109452982E+00 1.016680115E+00 1.012963209E+00 1.014451950E+00 1.017778353E+00 1.023572214E+00
1.166670514E+01 1.215143513E+00 1.213445883E+00 1.208666679E+00 1.197111968E+00 1.172200280E+00 1.123687138E+00 1.039574350E+00 1.012965165E+00 1.014131643E+00 1.017028555E+00 1.022250752E+00
1.183333839E+01 1.216674009E+00 1.215320826E+00 1.211457601E+00 1.201923214E+00 1.181035815E+00 1.139663713E+00 1.066004720E+00 1.013091703E+00 1.013869802E+00 1.016250276E+00 1.020774515E+00
1.200000000E+01 1.218594185E+00 1.217534251E+00 1.214537109E+00 1.206973160E+00 1.190091155E+00 1.156053187E+00 1.093841295E+00 1.013446434E+00 1.013785195E+00 1.015588963E+00 1.019324174E+00
1.216672606E+01 1.220939810E+00 1.220067987E+00 1.217781154E+00 1.211925148E+00 1.198605300E+00 1.171287516E+00 1.120185428E+00 1.035185628E+00 1.014030097E+00 1.015244029E+00 1.018172010E+00
1.233324570E+01 1.223734217E+00 1.222909574E+00 1.221106160E+00 1.216552599E+00 1.206055224E+00 1.184215852E+00 1.142598094E+00 1.071186389E+00 1.014753957E+00 1.015415937E+00 1.017610903E+00
1.249996187E+01 1.226981353E+00 1.226057286E+00 1.224496184E+00 1.220812052E+00 1.212333921E+00 1.194541260E+00 1.160181688E+00 1.099862366E+00 1.016061424E+00 1.016238869E+00 1.017843445E+00
1.266670514E+01 1.230657671E+00 1.229508515E+00 1.227981065E+00 1.224797238E+00 1.217660033E+00 1.202686560E+00 1.173536640E+00 1.121527154E+00 1.038996544E+00 1.017749717E+00 1.018915667E+00
1.283333839E+01 1.234712467E+00 1.233246541E+00 1.231595310E+00 1.228637499E+00 1.222349155E+00 1.209311299E+00 1.183874058E+00 1.137984061E+00 1.063679975E+00 1.019917940E+00 1.020754538E+00
1.300000000E+01 1.239079942E+00 1.237239813E+00 1.235355135E+00 1.232430152E+00 1.226652620E+00 1.214956820E+00 1.192231758E+00 1.150974784E+00 1.083176391E+00 1.022704859E+00 1.023265764E+00
