T nFsrh nFBsrh dnsrh nF nFB dn
290 1.200558916E+00 1.202250243E+0 -1.691327000E-03 1.200558916E+00 1.202250243E+0 -1.691327000E-03
295 1.209681050E+00 1.206194989E+0 3.486061000E-03 1.209681050E+00 1.206194989E+0 3.486061000E-03
300 1.208002789E+00 1.210148368E+0 -2.145579000E-03 1.208002789E+00 1.210148368E+0 -2.145579000E-03
305 1.216909714E+00 1.214110148E+0 2.799566000E-03 1.216909714E+00 1.214110148E+0 2.799566000E-03
310 1.215596531E+00 1.218079951E+0 -2.483420000E-03 1.215596531E+00 1.218079951E+0 -2.483420000E-03
315 1.218603669E+00 1.222057058E+0 -3.453389000E-03 1.218603669E+00 1.222057058E+0 -3.453389000E-03
320 1.227012309E+00 1.226039988E+0 9.723210000E-04 1.227012309E+00 1.226039988E+0 9.723210000E-04
325 1.230322802E+00 1.230025591E+0 2.972110000E-04 1.230322802E+00 1.230025591E+0 2.972110000E-04
330 1.237710914E+00 1.234007186E+0 3.703728000E-03 1.237710914E+00 1.234007186E+0 3.703728000E-03
335 1.244430313E+00 1.237970778E+0 6.459535000E-03 1.244430313E+00 1.237970778E+0 6.459535000E-03
340 1.245467885E+00 1.241887604E+0 3.580281000E-03 1.245467885E+00 1.241887604E+0 3.580281000E-03
