Method versus Method Nemenyi Holm Shaffer
EBLSHADE versus WW 9.100000000E-14 9.100000000E-14 9.100000000E-14
ADELI versus MABC 9.100000000E-14 9.100000000E-14 9.100000000E-14
ADELI versus PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
ADELI versus ISCA 9.100000000E-14 9.100000000E-14 9.100000000E-14
ADELI versus NNA 9.100000000E-14 9.100000000E-14 9.100000000E-14
ADELI versus CWOA 9.100000000E-14 9.100000000E-14 9.100000000E-14
ADELI versus WW 9.100000000E-14 9.100000000E-14 9.100000000E-14
NDE versus NNA 9.100000000E-14 9.100000000E-14 9.100000000E-14
TLBO versus GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
TLBO versus PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
TLBO versus ISCA 9.100000000E-14 9.100000000E-14 9.100000000E-14
TLBO versus NNA 9.100000000E-14 9.100000000E-14 9.100000000E-14
TLBO versus CWOA 9.100000000E-14 9.100000000E-14 9.100000000E-14
STLBO versus GOTLBO 9.100000000E-14 9.100000000E-14 9.100000000E-14
STLBO versus PSO 9.100000000E-14 9.100000000E-14 9.100000000E-14
STLBO versus NNA 9.100000000E-14 9.100000000E-14 9.100000000E-14
STLBO versus CWOA 9.100000000E-14 9.100000000E-14 9.100000000E-14
IJAYA versus NNA 1.616484724E-12 1.314504061E-12 1.190159082E-12
EBLSHADE versus MABC 3.758326983E-12 3.014921646E-12 2.767119867E-12
NDE versus GOTLBO 4.202860282E-12 3.325340003E-12 3.094413614E-12
STLBO versus DE 8.122835737E-12 6.337597114E-12 5.980549389E-12
IJAYA versus CWOA 2.311573155E-11 1.752731293E-11 1.701927488E-11
TLBO versus DE 4.025046962E-11 3.007727400E-11 2.963496115E-11
IJAYA versus PSO 9.529177447E-11 7.015987791E-11 7.015987791E-11
IJAYA versus ISCA 1.291146967E-09 9.364362619E-10 9.364362619E-10
ADELI versus DE 2.223292883E-09 1.563634555E-09 1.417043816E-09
EBLSHADE versus GOTLBO 3.532382831E-09 2.445495806E-09 2.251408837E-09
NDE versus MABC 9.687592950E-09 6.493880989E-09 6.174509792E-09
IJAYA versus WW 1.724401244E-08 1.136967853E-08 1.099068925E-08
NDE versus WW 1.752519996E-08 1.136967853E-08 1.116990767E-08
EBLSHADE versus DE 1.826019536E-08 1.163836627E-08 1.163836627E-08
EBLSHADE versus ISCA 1.883273404E-08 1.179632791E-08 1.163836627E-08
EBLSHADE versus PSO 4.780656582E-08 2.941942512E-08 2.941942512E-08
ADELI versus GOTLBO 4.986633106E-08 3.013899130E-08 3.013899130E-08
EBLSHADE versus CWOA 7.526183143E-08 4.466086700E-08 4.217970773E-08
STLBO versus MABC 8.604810864E-08 5.011593140E-08 4.822476418E-08
NDE versus ISCA 9.601379758E-08 5.486502719E-08 5.380993051E-08
DE versus NNA 1.608669020E-07 9.015617586E-08 9.015617586E-08
EBLSHADE versus NNA 1.687875357E-07 9.274040425E-08 9.015617586E-08
TLBO versus MABC 2.161632882E-07 1.163956167E-07 1.140201960E-07
NDE versus PSO 4.075751643E-07 2.149847020E-07 2.149847020E-07
STLBO versus WW 4.169953907E-07 2.153712457E-07 2.153712457E-07
TLBO versus WW 6.326355035E-07 3.197937710E-07 3.197937710E-07
NDE versus CWOA 8.177507069E-07 4.043822177E-07 4.043822177E-07
STLBO versus ISCA 8.336473996E-07 4.043822177E-07 4.043822177E-07
DE versus CWOA 1.478362893E-06 6.985670815E-07 6.985670815E-07
DE versus PSO 4.485493867E-06 2.070227938E-06 2.070227938E-06
DE versus ISCA 3.338232043E-05 1.504038613E-05 1.467354744E-05
NDE versus DE 1.562284126E-04 6.867182970E-05 6.867182970E-05
DE versus WW 2.419082599E-04 1.036749685E-04 1.036749685E-04
IJAYA versus GOTLBO 7.277864198E-04 2.959131597E-04 2.959131597E-04
MABC versus NNA 1.289453807E-03 5.101135940E-04 5.101135940E-04
ADELI versus NDE 1.706882534E-03 6.564932824E-04 6.564932824E-04
MABC versus CWOA 6.564864903E-03 2.452806667E-03 2.452806667E-03
