Method DE EBLSHADE ADELI NDE MABC TLBO GOTLBO STLBO PSO IJAYA ISCA NNA CWOA WW 
DE 0 0 0 0 0 0 0 0 1 0 1 1 1 1
EBLSHADE 1 0 0 0 1 0 1 0 1 0 1 1 1 1
ADELI 1 0 0 1 1 0 1 0 1 0 1 1 1 1
NDE 1 0 0 0 1 0 1 0 1 0 1 1 1 1
MABC 0 0 0 0 0 0 0 0 1 0 1 1 1 1
TLBO 1 0 0 1 1 0 1 0 1 0 1 1 1 1
GOTLBO 0 0 0 0 0 0 0 0 0 0 0 1 0 0
STLBO 1 0 0 1 1 0 1 0 1 0 1 1 1 1
PSO 0 0 0 0 0 0 0 0 0 0 0 0 0 0
IJAYA 0 0 0 0 1 0 1 0 1 0 1 1 1 1
ISCA 0 0 0 0 0 0 0 0 0 0 0 0 0 0
NNA 0 0 0 0 0 0 0 0 0 0 0 0 0 0
CWOA 0 0 0 0 0 0 0 0 0 0 0 0 0 0
WW 0 0 0 0 0 0 0 0 0 0 0 0 0 0
