N_Fe T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.000000000E+01 1.239873500E-02 6.727844000E-03 -5.994570000E-03 -3.192358500E-02 -8.079830700E-02 -1.625443260E-01 -1.642581580E-01 -1.250716330E-01 -4.411411200E-02 1.014499700E-02 1.631994900E-02
1.016672606E+01 1.246458900E-02 6.858124000E-03 -5.728751000E-03 -3.139233200E-02 -7.980520700E-02 -1.609165010E-01 -1.644195860E-01 -1.254270770E-01 -4.479146400E-02 1.005509100E-02 1.619231600E-02
1.033324570E+01 1.255938300E-02 7.045409000E-03 -5.346823000E-03 -3.062884900E-02 -7.837617900E-02 -1.585678290E-01 -1.646535430E-01 -1.259427840E-01 -4.577571500E-02 9.925346000E-03 1.600784600E-02
1.049996187E+01 1.269462500E-02 7.312105000E-03 -4.803372000E-03 -2.954213400E-02 -7.633859000E-02 -1.552059700E-01 -1.649906390E-01 -1.266870070E-01 -4.719928000E-02 9.739568000E-03 1.574312700E-02
1.066670514E+01 1.288513600E-02 7.686744000E-03 -4.040808000E-03 -2.801668200E-02 -7.347141400E-02 -1.504495030E-01 -1.654722420E-01 -1.277526990E-01 -4.924433700E-02 9.476572000E-03 1.536717700E-02
1.083333839E+01 1.314868100E-02 8.202944000E-03 -2.991915000E-03 -2.591755100E-02 -6.951287100E-02 -1.438326610E-01 -1.661519970E-01 -1.292616170E-01 -5.215332600E-02 9.110353000E-03 1.484124900E-02
1.100000000E+01 1.350413300E-02 8.895106000E-03 -1.589087000E-03 -2.310897600E-02 -6.419346900E-02 -1.348498350E-01 -1.670947360E-01 -1.313639160E-01 -5.623256500E-02 8.612361000E-03 1.412135400E-02
1.116672606E+01 1.396714000E-02 9.789199000E-03 2.158980000E-04 -1.949480300E-02 -5.731153000E-02 -1.230732040E-01 -1.683702590E-01 -1.342263570E-01 -6.183683800E-02 7.957743000E-03 1.316619400E-02
1.133324570E+01 1.453607100E-02 1.087843800E-02 2.409104000E-03 -1.509463400E-02 -4.885910100E-02 -1.083717690E-01 -1.700372600E-01 -1.380000370E-01 -6.931521500E-02 7.137405000E-03 1.195369800E-02
1.149996187E+01 1.520908500E-02 1.214321200E-02 4.927045000E-03 -1.006469500E-02 -3.917007000E-02 -9.120322900E-02 -1.721148590E-01 -1.427586070E-01 -7.889551700E-02 6.175431000E-03 1.050693300E-02
1.166670514E+01 1.593981100E-02 1.348314600E-02 7.567516000E-03 -4.806007000E-03 -2.898221400E-02 -7.281555700E-02 -1.446847090E-01 -1.484107430E-01 -9.050106700E-02 5.144776000E-03 8.921641000E-03
1.183333839E+01 1.665932400E-02 1.478656900E-02 1.009603500E-02 1.876830000E-04 -1.929902400E-02 -5.507220800E-02 -1.155093950E-01 -1.546216440E-01 -1.035535370E-01 -7.978677000E-03 7.373416000E-03
1.200000000E+01 1.730019600E-02 1.592500800E-02 1.227471700E-02 4.448380000E-03 -1.104247400E-02 -3.977306700E-02 -8.956686500E-02 -1.608151030E-01 -1.169144280E-01 -3.227977800E-02 6.074283000E-03
1.216672606E+01 1.778870300E-02 1.680416300E-02 1.393354800E-02 7.750605000E-03 -4.651303000E-03 -2.786759500E-02 -6.894022200E-02 -1.307350230E-01 -1.291332980E-01 -5.546634700E-02 5.178442000E-03
1.233324570E+01 1.807230300E-02 1.737805900E-02 1.511460000E-02 1.010504500E-02 -5.430200000E-05 -1.922621100E-02 -5.374213300E-02 -1.070724920E-01 -1.390024240E-01 -7.494407700E-02 4.698265000E-03
1.249996187E+01 1.812825700E-02 1.765412100E-02 1.582524300E-02 1.168263900E-02 3.143649000E-03 -1.308681700E-02 -4.275819700E-02 -8.950711500E-02 -1.460255620E-01 -8.936143900E-02 4.511473000E-03
1.266670514E+01 1.796641000E-02 1.766069100E-02 1.617940500E-02 1.266113500E-02 5.349571000E-03 -8.650584000E-03 -3.458428300E-02 -7.602838600E-02 -1.339669130E-01 -9.893415000E-02 -9.677554000E-03
1.283333839E+01 1.762087000E-02 1.743852500E-02 1.621341300E-02 1.320305000E-02 6.861712000E-03 -5.361548000E-03 -2.825976700E-02 -6.520502700E-02 -1.181470300E-01 -1.047383390E-01 -2.040091700E-02
1.300000000E+01 1.715156900E-02 1.706000500E-02 1.602328100E-02 1.341723400E-02 7.860756000E-03 -2.905135000E-03 -2.327042800E-02 -5.631557000E-02 -1.045372050E-01 -1.078408230E-01 -2.704207500E-02
