fname time Tem kT_1 A Rs Io Rsh Iph Voc Isc Pm FF dev 
0001 12:16:26 293 39.57 1.611E+001 3.333E+002 2.640E-007 7.026E+003 3.131E-004 4.259E-001 2.977E-004 5.508E-005 4.344E-001 3.042E-003 
0002 12:30:22 294.3 39.4 1.626E+001 3.245E+002 2.624E-007 7.044E+003 3.123E-004 4.224E-001 2.974E-004 5.485E-005 4.368E-001 2.232E-002 
0003 12:33:56 294.5 39.37 1.000E+001 7.885E+002 1.000E-015 1.000E+002 3.924E-003 3.924E-001 4.417E-004 4.333E-005 2.500E-001 5.504E-001 
0004 13:20:38 297 39.04 1.724E+001 3.045E+002 2.002E-007 6.944E+003 3.111E-004 4.140E-001 2.971E-004 5.484E-005 4.458E-001 1.555E-002 
0005 13:31:28 298.3 38.87 1.000E+001 7.316E+002 1.000E-015 1.000E+002 3.793E-003 3.793E-001 4.562E-004 4.326E-005 2.500E-001 6.918E-001 
0006 13:46:40 299 38.78 1.738E+001 2.884E+002 2.045E-007 6.985E+003 3.112E-004 4.097E-001 2.980E-004 5.492E-005 4.499E-001 2.195E-001 
0007 13:58:06 299.9 38.66 1.000E+001 7.020E+002 1.000E-015 1.000E+002 3.734E-003 3.734E-001 4.655E-004 4.346E-005 2.500E-001 7.839E-001 
0008 14:07:06 301 38.52 1.811E+001 2.768E+002 1.632E-007 6.654E+003 3.112E-004 4.050E-001 2.981E-004 5.490E-005 4.548E-001 3.121E-003 
0009 14:14:18 302.3 38.35 1.000E+001 6.600E+002 1.000E-015 1.000E+002 3.644E-003 3.644E-001 4.794E-004 4.367E-005 2.500E-001 5.490E-001 
0010 14:19:50 303.3 38.23 1.868E+001 2.652E+002 1.405E-007 6.630E+003 3.106E-004 4.007E-001 2.981E-004 5.499E-005 4.604E-001 7.203E-003 
0011 14:22:06 304.2 38.11 1.000E+001 6.472E+002 1.000E-015 1.000E+002 3.616E-003 3.616E-001 4.840E-004 4.375E-005 2.500E-001 1.136E+000 
0012 14:39:54 305.5 37.95 1.000E+001 6.153E+002 1.000E-015 1.000E+002 3.548E-003 3.548E-001 4.961E-004 4.400E-005 2.500E-001 2.928E-001 
0013 14:50:14 306.2 37.86 1.000E+001 6.071E+002 1.000E-015 1.000E+002 3.529E-003 3.529E-001 4.990E-004 4.403E-005 2.500E-001 1.927E-001 
0014 15:06:00 307 37.77 1.000E+001 5.968E+002 1.000E-015 1.000E+002 3.508E-003 3.507E-001 5.034E-004 4.414E-005 2.500E-001 3.133E-001 
0015 15:13:52 308.4 37.59 1.908E+001 2.348E+002 1.419E-007 6.633E+003 3.092E-004 3.917E-001 2.981E-004 5.480E-005 4.693E-001 1.789E-002 
0016 15:25:10 309.5 37.46 1.917E+001 2.287E+002 1.429E-007 6.650E+003 3.086E-004 3.895E-001 2.978E-004 5.466E-005 4.712E-001 4.419E-001 
0017 15:35:58 310.8 37.3 1.924E+001 2.219E+002 1.455E-007 6.625E+003 3.083E-004 3.872E-001 2.978E-004 5.452E-005 4.728E-001 9.533E-003 
