fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 Iph Voc Isc FF Pm Vm Im rmsre 
00L1 26536 296.3 39.13 1.000000000E+00 1.802877983E+00 2.868902795E-12 1.000000000E+20 4.616649559E+00 4.032835515E-05 2.404425023E-03 4.765180331E-01 2.403425023E-03 5.082978987E-01 5.821410614E-04 3.284915813E-01 1.772279104E-03 2.276998705E-01 
00L2 26662 297.78 38.935 1.000000000E+00 1.692437521E+00 3.830853077E-12 1.000000000E+20 4.795704530E+00 4.734442147E-05 2.405375852E-03 4.737189503E-01 2.404375852E-03 5.085279266E-01 5.792124971E-04 3.296160955E-01 1.757038342E-03 1.414597874E-01 
00L3 26782 298.35 38.861 1.000000000E+00 1.628015829E+00 4.025085515E-12 1.000000000E+20 4.669759573E+00 4.383848986E-05 2.400096625E-03 4.727223946E-01 2.399096625E-03 5.094160671E-01 5.777321754E-04 3.276202479E-01 1.763463159E-03 1.520589100E-01 
00L4 26912 300.25 38.615 1.000000000E+00 1.689745105E+00 5.922528806E-12 1.000000000E+20 4.675167389E+00 4.566556510E-05 2.398073143E-03 4.684886507E-01 2.397073143E-03 5.101244768E-01 5.728705845E-04 3.252418641E-01 1.761328060E-03 1.683005329E-01 
00L5 27032 300.73 38.554 1.000000000E+00 1.650455668E+00 6.123414837E-12 1.000000000E+20 4.698731728E+00 4.697776513E-05 2.398438926E-03 4.680709785E-01 2.397438926E-03 5.103337976E-01 5.726820861E-04 3.233777673E-01 1.770936400E-03 1.827181787E-01 
00L6 27156 300.53 38.579 1.000000000E+00 1.587740698E+00 5.362717266E-12 1.000000000E+20 4.486515195E+00 4.091786777E-05 2.396115615E-03 4.660282365E-01 2.395115615E-03 5.291072400E-01 5.905850074E-04 3.240623559E-01 1.814196919E-03 2.113759023E-01 
00L7 27272 300.28 38.611 1.000000000E+00 1.113608526E+00 3.772435396E-12 1.000000000E+20 4.540907939E+00 4.345768226E-05 2.398558287E-03 4.676438329E-01 2.397558287E-03 7.018688618E-01 7.869377170E-04 3.297312271E-01 2.362752529E-03 1.503053757E-01 
00L8 27394 300.21 38.62 1.000000000E+00 1.561551444E+00 4.782533373E-12 1.000000000E+20 4.255957452E+00 3.437404669E-05 2.392326069E-03 4.674185791E-01 2.391326069E-03 5.071803021E-01 5.669009009E-04 3.248689615E-01 1.747349474E-03 3.326786070E-01 
00L9 27506 300.12 38.632 1.000000000E+00 1.706832475E+00 5.952204157E-12 1.000000000E+20 4.880752635E+00 5.293196071E-05 2.401281143E-03 4.668541853E-01 2.400281143E-03 5.111298404E-01 5.727625397E-04 3.272099719E-01 1.750262188E-03 9.323492264E-02 
0L10 27630 300.16 38.627 1.000000000E+00 1.663181055E+00 5.675025123E-12 1.000000000E+20 4.630117492E+00 4.465767758E-05 2.395961314E-03 4.666617375E-01 2.394961314E-03 5.111175432E-01 5.712437796E-04 3.229053415E-01 1.769129249E-03 1.415951817E-01 
