True Mean Median
8.96101E-06 3.24448E-05 7.14148E-06 8.96101E-06
1.73488E-05 3.42653E-05 9.51081E-06 1.73488E-05
3.20396E-05 9.98624E-05 1.66778E-05 3.20396E-05
5.67193E-05 2.05795E-04 5.51447E-05 5.67193E-05
9.66582E-05 2.47645E-04 7.70737E-05 9.66582E-05
1.59152E-04 2.48647E-04 1.01777E-05 1.59152E-04
2.54008E-04 4.15971E-04 1.86967E-07 2.54008E-04
3.94074E-04 5.55116E-04 6.77431E-07 3.94074E-04
5.95785E-04 1.24805E-03 1.28826E-06 5.95785E-04
8.79718E-04 7.01347E-04 1.62772E-06 8.79718E-04
