True Mean Median
8.96101E-06 8.96098E-06 8.96101E-06 8.96101E-06
1.73488E-05 1.73488E-05 1.73488E-05 1.73488E-05
3.20396E-05 3.20396E-05 3.20396E-05 3.20396E-05
5.67193E-05 5.67193E-05 5.67193E-05 5.67193E-05
9.66582E-05 9.66584E-05 9.66584E-05 9.66582E-05
1.59152E-04 1.59151E-04 1.59151E-04 1.59152E-04
2.54008E-04 2.49028E-04 2.54009E-04 2.54008E-04
3.94074E-04 3.94074E-04 3.94074E-04 3.94074E-04
5.95785E-04 5.95786E-04 5.95786E-04 5.95785E-04
8.79718E-04 8.79718E-04 8.79718E-04 8.79718E-04
