True Mean Median
1.41753E+04 1.71151E+04 1.40675E+04 1.41753E+04
8.35610E+03 1.50917E+04 1.01392E+04 8.35610E+03
5.11528E+03 1.25942E+04 8.94831E+03 5.11528E+03
3.23917E+03 1.25388E+04 5.45077E+03 3.23917E+03
2.11460E+03 1.19223E+04 4.29228E+03 2.11460E+03
1.41896E+03 6.79780E+03 2.07570E+03 1.41896E+03
9.76205E+02 2.55507E+03 4.97558E+02 9.76205E+02
6.86999E+02 1.69970E+03 2.64162E+02 6.86999E+02
4.93568E+02 1.13345E+03 1.60565E+02 4.93568E+02
3.61363E+02 1.02562E+03 1.60420E+02 3.61363E+02
