True Mean Median
9.60000E-04 2.08770E-02 5.06958E-03 9.60000E-04
9.70000E-04 2.85699E-02 1.75843E-02 9.70000E-04
9.80000E-04 2.14748E-02 4.83641E-03 9.80000E-04
9.90000E-04 2.75758E-02 7.43876E-03 9.90000E-04
1.00000E-03 2.36425E-02 4.45749E-03 1.00000E-03
1.01000E-03 3.45453E-02 1.24945E-02 1.01000E-03
1.02000E-03 1.63148E-02 3.86311E-03 1.02000E-03
1.03000E-03 1.08732E-02 1.81969E-03 1.03000E-03
1.04000E-03 1.63127E-02 1.44070E-03 1.04000E-03
1.05000E-03 1.13903E-02 1.26817E-03 1.05000E-03
