True Mean Median
8.96101E-06 8.65745E-06 8.39149E-06 8.96101E-06
1.73488E-05 1.60419E-05 1.56412E-05 1.73488E-05
3.20396E-05 3.19652E-05 3.00393E-05 3.20396E-05
5.67193E-05 6.71648E-05 5.54289E-05 5.67193E-05
9.66582E-05 1.53375E-04 1.17255E-04 9.66582E-05
1.59152E-04 2.97902E-04 3.09783E-04 1.59152E-04
2.54008E-04 5.11873E-04 3.87326E-04 2.54008E-04
3.94074E-04 5.78041E-04 4.54094E-04 3.94074E-04
5.95785E-04 8.49896E-04 7.54123E-04 5.95785E-04
8.79718E-04 1.14107E-03 9.53584E-04 8.79718E-04
