True Mean Median
1.00000E+01 1.87992E+02 1.13315E+02 1.00000E+01
2.00000E+01 1.71108E+02 1.10384E+02 2.00000E+01
3.00000E+01 2.01627E+02 1.47165E+02 3.00000E+01
4.00000E+01 1.36832E+02 3.48521E+01 4.00000E+01
5.00000E+01 1.84834E+02 9.36889E+01 5.00000E+01
6.00000E+01 1.57267E+02 9.53646E+01 6.00000E+01
7.00000E+01 1.01078E+02 4.22161E+01 7.00000E+01
8.00000E+01 9.74361E+01 6.05965E+01 8.00000E+01
9.00000E+01 7.46422E+01 4.31606E+01 9.00000E+01
1.00000E+02 6.84413E+01 2.99907E+01 1.00000E+02
