True Mean Median
1.41753E+04 1.40726E+04 1.41535E+04 1.41753E+04
8.35610E+03 8.80209E+03 8.34608E+03 8.35610E+03
5.11528E+03 1.31572E+04 5.11362E+03 5.11528E+03
3.23917E+03 9.83853E+03 3.23868E+03 3.23917E+03
2.11460E+03 6.25574E+03 2.11460E+03 2.11460E+03
1.41896E+03 3.49302E+03 1.41837E+03 1.41896E+03
9.76205E+02 1.17286E+03 8.76418E+02 9.76205E+02
6.86999E+02 5.42006E+02 6.86981E+02 6.86999E+02
4.93568E+02 3.19477E+03 4.86725E+02 4.93568E+02
3.61363E+02 1.36983E+03 3.61374E+02 3.61363E+02
