True Mean Median
1.00000E+04 1.51025E+04 3.91349E+02 1.00000E+04
1.00000E+04 1.90230E+03 4.44996E+02 1.00000E+04
1.00000E+04 1.00918E+04 4.74797E+02 1.00000E+04
1.00000E+04 7.75671E+03 6.40583E+02 1.00000E+04
1.00000E+04 1.84343E+03 5.18707E+02 1.00000E+04
1.00000E+04 3.55852E+03 6.35767E+02 1.00000E+04
1.00000E+04 5.44548E+04 1.30332E+03 1.00000E+04
1.00000E+04 2.17155E+04 1.97362E+03 1.00000E+04
1.00000E+04 1.49162E+04 2.39072E+03 1.00000E+04
1.00000E+04 5.03637E+04 3.21006E+03 1.00000E+04
