True Mean Median
1.00000E+01 1.16759E+02 1.29627E+01 1.00000E+01
2.00000E+01 1.82996E+02 3.58986E+01 2.00000E+01
3.00000E+01 1.39907E+02 2.34557E+01 3.00000E+01
4.00000E+01 1.21993E+02 2.35265E+01 4.00000E+01
5.00000E+01 1.62162E+02 5.68037E+01 5.00000E+01
6.00000E+01 8.92025E+01 1.45832E+01 6.00000E+01
7.00000E+01 7.61548E+01 5.16922E+00 7.00000E+01
8.00000E+01 4.72598E+01 8.22560E+00 8.00000E+01
9.00000E+01 5.38159E+01 1.07162E+01 9.00000E+01
1.00000E+02 3.61071E+01 4.66429E+00 1.00000E+02
