True Mean Median
9.60000E-04 1.38167E-02 3.14781E-03 9.60000E-04
9.70000E-04 1.61026E-02 5.61353E-03 9.70000E-04
9.80000E-04 1.47866E-02 4.47212E-03 9.80000E-04
9.90000E-04 1.03213E-02 2.17614E-03 9.90000E-04
1.00000E-03 1.63487E-02 2.28548E-03 1.00000E-03
1.01000E-03 8.06081E-03 2.15152E-03 1.01000E-03
1.02000E-03 4.68183E-03 1.53815E-03 1.02000E-03
1.03000E-03 1.22280E-03 1.20421E-03 1.03000E-03
1.04000E-03 1.19290E-03 1.15263E-03 1.04000E-03
1.05000E-03 1.16642E-03 1.13401E-03 1.05000E-03
