True Mean Median
1.50000E-05 1.38343E-04 5.37507E-06 1.50000E-05
1.50000E-05 2.21297E-04 4.36767E-05 1.50000E-05
1.50000E-05 1.33014E-04 2.95516E-06 1.50000E-05
1.50000E-05 1.66251E-04 2.96412E-05 1.50000E-05
1.50000E-05 2.03177E-04 8.74259E-05 1.50000E-05
1.50000E-05 1.27436E-04 2.25272E-06 1.50000E-05
1.50000E-05 1.33014E-04 1.43191E-05 1.50000E-05
1.50000E-05 9.37257E-05 2.04085E-05 1.50000E-05
1.50000E-05 7.05291E-05 1.10034E-05 1.50000E-05
1.50000E-05 8.54154E-05 1.65454E-05 1.50000E-05
