True Mean Median
9.60000E-04 1.03031E-03 1.03297E-03 9.60000E-04
9.70000E-04 1.01548E-03 9.95066E-04 9.70000E-04
9.80000E-04 1.00538E-03 1.00048E-03 9.80000E-04
9.90000E-04 1.00624E-03 1.00069E-03 9.90000E-04
1.00000E-03 1.02105E-03 1.01070E-03 1.00000E-03
1.01000E-03 1.03768E-03 1.01903E-03 1.01000E-03
1.02000E-03 1.13848E-03 1.05966E-03 1.02000E-03
1.03000E-03 1.05043E-03 1.03456E-03 1.03000E-03
1.04000E-03 1.05076E-03 1.04056E-03 1.04000E-03
1.05000E-03 1.06194E-03 1.05579E-03 1.05000E-03
