True Mean Median
1.50000E-05 2.20155E-04 1.26821E-05 1.50000E-05
1.50000E-05 2.16269E-04 9.75714E-06 1.50000E-05
1.50000E-05 1.44647E-04 2.07544E-05 1.50000E-05
1.50000E-05 2.37351E-04 1.99805E-05 1.50000E-05
1.50000E-05 2.51084E-04 1.65052E-05 1.50000E-05
1.50000E-05 3.04057E-04 5.43077E-05 1.50000E-05
1.50000E-05 3.31199E-04 7.55199E-05 1.50000E-05
1.50000E-05 3.95696E-04 2.68794E-04 1.50000E-05
1.50000E-05 2.48175E-04 4.99052E-05 1.50000E-05
1.50000E-05 2.75714E-04 9.77243E-05 1.50000E-05
