True Mean Median
1.00000E+01 1.30758E+02 4.71911E+01 1.00000E+01
2.00000E+01 1.01459E+02 4.09988E+01 2.00000E+01
3.00000E+01 8.64157E+01 3.69645E+01 3.00000E+01
4.00000E+01 8.59774E+01 4.09017E+01 4.00000E+01
5.00000E+01 8.39660E+01 4.99907E+01 5.00000E+01
6.00000E+01 1.04350E+02 5.99865E+01 6.00000E+01
7.00000E+01 6.22102E+01 4.95192E+01 7.00000E+01
8.00000E+01 1.06737E+02 8.00063E+01 8.00000E+01
9.00000E+01 9.81832E+01 9.19468E+01 9.00000E+01
1.00000E+02 7.88813E+01 9.99893E+01 1.00000E+02
