True Mean Median
1.00000E+01 1.03086E+01 1.00025E+01 1.00000E+01
2.00000E+01 1.99953E+01 1.99947E+01 2.00000E+01
3.00000E+01 2.99905E+01 2.99905E+01 3.00000E+01
4.00000E+01 3.99991E+01 3.99991E+01 4.00000E+01
5.00000E+01 4.99906E+01 4.99906E+01 5.00000E+01
6.00000E+01 5.99840E+01 5.99840E+01 6.00000E+01
7.00000E+01 7.47471E+01 6.99971E+01 7.00000E+01
8.00000E+01 8.00063E+01 8.00063E+01 8.00000E+01
9.00000E+01 9.00067E+01 9.00067E+01 9.00000E+01
1.00000E+02 9.99915E+01 9.99915E+01 1.00000E+02
