True Mean Median
1.00000E+01 2.73896E+02 4.06458E+02 1.00000E+01
2.00000E+01 3.66525E+02 4.67262E+02 2.00000E+01
3.00000E+01 2.84719E+02 3.23952E+02 3.00000E+01
4.00000E+01 3.16996E+02 3.96603E+02 4.00000E+01
5.00000E+01 2.63100E+02 1.10413E+02 5.00000E+01
6.00000E+01 2.97136E+02 4.82017E+02 6.00000E+01
7.00000E+01 1.66622E+02 1.00000E-01 7.00000E+01
8.00000E+01 9.78458E+01 1.00000E-01 8.00000E+01
9.00000E+01 1.20009E+02 5.91392E+00 9.00000E+01
1.00000E+02 1.45821E+02 1.35643E+02 1.00000E+02
