True Mean Median
9.60000E-04 4.28324E-02 5.33325E-02 9.60000E-04
9.70000E-04 5.55091E-02 5.94252E-02 9.70000E-04
9.80000E-04 3.41257E-02 2.60703E-03 9.80000E-04
9.90000E-04 4.33233E-02 5.98563E-02 9.90000E-04
1.00000E-03 3.70550E-02 1.50444E-03 1.00000E-03
1.01000E-03 4.17000E-02 3.19353E-02 1.01000E-03
1.02000E-03 3.06821E-02 1.19046E-03 1.02000E-03
1.03000E-03 1.05787E-02 1.12840E-03 1.03000E-03
1.04000E-03 8.55564E-03 1.06647E-03 1.04000E-03
1.05000E-03 1.28303E-02 1.04811E-03 1.05000E-03
