True Mean Median
1.00000E+01 1.20903E+02 8.38115E+00 1.00000E+01
2.00000E+01 1.34474E+02 4.70315E+00 2.00000E+01
3.00000E+01 8.55876E+01 1.17920E+01 3.00000E+01
4.00000E+01 8.92972E+01 1.16984E+01 4.00000E+01
5.00000E+01 8.82562E+01 1.34118E+01 5.00000E+01
6.00000E+01 8.87110E+01 4.19670E+00 6.00000E+01
7.00000E+01 7.28741E+01 1.09340E+01 7.00000E+01
8.00000E+01 3.60443E+01 1.58449E+00 8.00000E+01
9.00000E+01 2.41474E+01 1.15011E+00 9.00000E+01
1.00000E+02 2.62488E+01 1.74503E+00 1.00000E+02
