True Mean Median
8.96101E-06 7.64602E-06 8.93042E-06 8.96101E-06
1.73488E-05 1.72948E-05 1.73249E-05 1.73488E-05
3.20396E-05 5.33777E-05 3.20377E-05 3.20396E-05
5.67193E-05 9.19756E-05 5.67175E-05 5.67193E-05
9.66582E-05 1.47570E-04 9.66584E-05 9.66582E-05
1.59152E-04 2.36249E-04 1.59151E-04 1.59152E-04
2.54008E-04 2.04782E-04 2.48647E-04 2.54008E-04
3.94074E-04 3.85317E-04 3.94074E-04 3.94074E-04
5.95785E-04 7.49865E-04 5.94386E-04 5.95785E-04
8.79718E-04 1.14885E-03 8.79718E-04 8.79718E-04
