True Mean Median
9.60000E-04 8.73693E-03 1.53906E-03 9.60000E-04
9.70000E-04 6.46840E-03 1.51852E-03 9.70000E-04
9.80000E-04 9.75615E-03 1.52239E-03 9.80000E-04
9.90000E-04 3.57349E-03 1.18108E-03 9.90000E-04
1.00000E-03 8.41390E-03 1.50237E-03 1.00000E-03
1.01000E-03 5.89561E-03 1.30397E-03 1.01000E-03
1.02000E-03 2.26295E-03 1.30592E-03 1.02000E-03
1.03000E-03 1.15927E-03 1.12335E-03 1.03000E-03
1.04000E-03 1.13665E-03 1.10525E-03 1.04000E-03
1.05000E-03 1.15569E-03 1.07626E-03 1.05000E-03
