True Mean Median
8.96101E-06 1.32313E-05 1.14849E-05 8.96101E-06
1.73488E-05 3.69271E-05 3.69600E-05 1.73488E-05
3.20396E-05 7.03646E-05 6.50218E-05 3.20396E-05
5.67193E-05 1.51169E-04 1.52257E-04 5.67193E-05
9.66582E-05 2.98667E-04 2.72764E-04 9.66582E-05
1.59152E-04 7.45896E-04 5.45807E-04 1.59152E-04
2.54008E-04 8.05252E-04 2.25511E-04 2.54008E-04
3.94074E-04 1.38330E-03 3.61387E-04 3.94074E-04
5.95785E-04 1.70713E-03 2.07337E-04 5.95785E-04
8.79718E-04 1.66180E-03 2.95090E-04 8.79718E-04
