True Mean Median
1.41753E+04 2.60700E+04 1.43077E+04 1.41753E+04
8.35610E+03 2.68805E+04 1.70441E+04 8.35610E+03
5.11528E+03 1.74583E+04 4.23165E+03 5.11528E+03
3.23917E+03 2.25333E+04 9.92153E+03 3.23917E+03
2.11460E+03 1.92959E+04 3.57410E+03 2.11460E+03
1.41896E+03 1.63984E+04 1.02316E+03 1.41896E+03
9.76205E+02 4.55409E+03 4.57514E+02 9.76205E+02
6.86999E+02 8.38181E+03 3.87396E+02 6.86999E+02
4.93568E+02 4.68752E+03 2.90983E+02 4.93568E+02
3.61363E+02 3.57714E+03 2.52279E+02 3.61363E+02
