True Mean Median
1.00000E+04 9.74887E+03 1.00019E+04 1.00000E+04
1.00000E+04 1.00067E+04 1.00072E+04 1.00000E+04
1.00000E+04 1.00056E+04 1.00056E+04 1.00000E+04
1.00000E+04 1.00012E+04 1.00012E+04 1.00000E+04
1.00000E+04 1.00057E+04 1.00057E+04 1.00000E+04
1.00000E+04 1.00089E+04 1.00089E+04 1.00000E+04
1.00000E+04 2.25242E+04 1.00009E+04 1.00000E+04
1.00000E+04 9.99808E+03 9.99808E+03 1.00000E+04
1.00000E+04 9.99775E+03 9.99775E+03 1.00000E+04
1.00000E+04 1.00036E+04 1.00036E+04 1.00000E+04
