True Mean Median
1.41753E+04 1.39565E+04 8.24641E+03 1.41753E+04
8.35610E+03 8.49075E+03 3.74761E+03 8.35610E+03
5.11528E+03 7.62042E+03 3.19642E+03 5.11528E+03
3.23917E+03 5.04294E+03 1.31096E+03 3.23917E+03
2.11460E+03 5.69996E+03 9.76485E+02 2.11460E+03
1.41896E+03 3.65305E+03 5.46250E+02 1.41896E+03
9.76205E+02 9.56393E+02 3.31800E+02 9.76205E+02
6.86999E+02 1.52684E+03 2.81254E+02 6.86999E+02
4.93568E+02 8.16217E+02 1.03892E+02 4.93568E+02
3.61363E+02 3.75533E+02 1.02973E+02 3.61363E+02
