N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 2.744897000E-03 2.202165000E-03 1.835771000E-03 1.576133000E-03
1.600000000E+01 6.535391000E-03 5.559722000E-03 4.902973000E-03 4.431645000E-03
1.700000000E+01 1.124532900E-02 1.090716900E-02 1.073943500E-02 1.063323900E-02
1.549996187E+01 4.832755000E-03 3.949990000E-03 3.348125000E-03 2.922644000E-03
1.649996187E+01 8.012012000E-03 7.278422000E-03 6.804604000E-03 6.491188000E-03
1.674996808E+01 9.267918000E-03 8.732961000E-03 8.408268000E-03 8.198598000E-03
1.624993176E+01 7.134598000E-03 6.261514000E-03 5.680532000E-03 5.273579000E-03
1.574996808E+01 5.873731000E-03 4.879045000E-03 4.197972000E-03 3.722302000E-03
1.524993176E+01 3.728802000E-03 3.012929000E-03 2.530049000E-03 2.187281000E-03
