N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.705966000E-03 1.301425000E-03 1.036628000E-03 8.526180000E-04
1.600000000E+01 1.108151000E-02 1.074764300E-02 1.053526500E-02 1.036796900E-02
1.700000000E+01 3.589067700E-02 3.916606000E-02 3.650346400E-02 3.665674300E-02
1.549996187E+01 5.364808000E-03 5.012495000E-03 4.746481000E-03 4.541010000E-03
1.649996187E+01 2.014274800E-02 2.010076700E-02 2.009726700E-02 2.014525100E-02
1.674996808E+01 2.686099600E-02 2.708574300E-02 2.719597400E-02 2.730434500E-02
1.624993176E+01 1.502843600E-02 1.478616500E-02 1.466127800E-02 1.460498900E-02
1.574996808E+01 7.985668000E-03 7.616435000E-03 7.348980000E-03 7.143628000E-03
1.524993176E+01 2.575693000E-03 2.262753000E-03 2.011434000E-03 1.793024000E-03
