N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 2.161018000E-03 1.758455000E-03 1.484640000E-03 1.283449000E-03
1.600000000E+01 1.475903700E-02 1.428420500E-02 1.394389200E-02 1.365575500E-02
1.700000000E+01 4.718254000E-02 4.698086700E-02 4.959636500E-02 4.623823000E-02
1.549996187E+01 4.930239000E-03 4.362741000E-03 3.883557000E-03 3.449645000E-03
1.649996187E+01 2.754812000E-02 2.728918200E-02 2.698271900E-02 2.674613400E-02
1.674996808E+01 3.630974700E-02 3.611449400E-02 3.584498400E-02 3.552632900E-02
1.624993176E+01 2.046653900E-02 2.007070500E-02 1.975153500E-02 1.950964900E-02
1.574996808E+01 9.944532000E-03 9.433401000E-03 9.047746000E-03 8.687842000E-03
1.524993176E+01 1.780313000E-03 1.369241000E-03 1.102678000E-03 9.147170000E-04
