N_B Fe100 Fe140 Fe210 Fe310 Fe460 Fe680 Fe101 Fe141 Fe211 Fe311 Fe461 Fe681 Fe102 Fe142 Fe212 Fe312 Fe462 Fe682 Fe103
Fe 1.000000000E+01 1.016672606E+01 1.033324570E+01 1.049996187E+01 1.066670514E+01 1.083333839E+01 1.100000000E+01 1.116672606E+01 1.133324570E+01 1.149996187E+01 1.166670514E+01 1.183333839E+01 1.200000000E+01 1.216672606E+01 1.233324570E+01 1.249996187E+01 1.266670514E+01 1.283333839E+01 1.300000000E+01
1.500000000E+01 2.685568000E-03 1.874047000E-03 1.299726000E-03 8.973580000E-04 6.176810000E-04 4.244100000E-04 2.914410000E-04 2.002260000E-04 1.377970000E-04 9.514100000E-05 6.603700000E-05 4.619900000E-05 3.269000000E-05 2.351100000E-05 1.725900000E-05 1.299500000E-05 1.007200000E-05 8.027000000E-06 6.581000000E-06
1.600000000E+01 1.041243000E-02 7.466036000E-03 5.464739000E-03 3.869959000E-03 2.711797000E-03 1.944825000E-03 1.347141000E-03 9.286930000E-04 6.560670000E-04 4.519720000E-04 3.126990000E-04 2.217470000E-04 1.568270000E-04 1.161810000E-04 8.930500000E-05 7.060100000E-05 5.788700000E-05 4.864600000E-05 4.158500000E-05
1.700000000E+01 2.977963800E-02 2.135021400E-02 1.556666100E-02 1.091737600E-02 7.532727000E-03 5.154634000E-03 3.538093000E-03 2.419917000E-03 1.668922000E-03 1.177804000E-03 8.546160000E-04 6.355860000E-04 4.993400000E-04 4.033240000E-04 3.345080000E-04 2.822760000E-04 2.391070000E-04 2.070410000E-04 1.781840000E-04
1.549996187E+01 6.138980000E-03 4.374470000E-03 3.085695000E-03 2.158558000E-03 1.500515000E-03 1.038572000E-03 7.170430000E-04 4.946670000E-04 3.415740000E-04 2.365340000E-04 1.646420000E-04 1.155380000E-04 8.205200000E-05 5.926500000E-05 4.376900000E-05 3.323500000E-05 2.604200000E-05 2.106800000E-05 1.752900000E-05
1.649996187E+01 1.699925700E-02 1.212770800E-02 8.578094000E-03 6.021459000E-03 4.200380000E-03 2.916730000E-03 2.020581000E-03 1.400428000E-03 9.748590000E-04 6.852350000E-04 4.897770000E-04 3.587410000E-04 2.710740000E-04 2.119780000E-04 1.712730000E-04 1.422050000E-04 1.204400000E-04 1.033260000E-04 8.925300000E-05
1.674996808E+01 2.222745300E-02 1.583265700E-02 1.116488000E-02 7.806553000E-03 5.420634000E-03 3.745248000E-03 2.581926000E-03 1.783174000E-03 1.240994000E-03 8.770480000E-04 6.348750000E-04 4.741510000E-04 3.666230000E-04 2.930980000E-04 2.410370000E-04 2.025180000E-04 1.726530000E-04 1.484800000E-04 1.287400000E-04
1.624993176E+01 1.321183600E-02 9.446474000E-03 6.696666000E-03 4.710541000E-03 3.292232000E-03 2.290285000E-03 1.589165000E-03 1.102481000E-03 7.850840000E-04 5.494800000E-04 3.866420000E-04 2.804080000E-04 2.058170000E-04 1.547110000E-04 1.220330000E-04 9.942000000E-05 8.309800000E-05 7.076100000E-05 6.094100000E-05
1.574996808E+01 8.158642000E-03 5.850451000E-03 4.151726000E-03 2.919655000E-03 2.038601000E-03 1.416218000E-03 9.809050000E-04 6.787470000E-04 4.702090000E-04 3.269000000E-04 2.287380000E-04 1.616990000E-04 1.160210000E-04 8.499000000E-05 6.393200000E-05 4.960400000E-05 3.975900000E-05 3.281400000E-05 2.772000000E-05
1.524993176E+01 4.380254000E-03 3.091253000E-03 2.162819000E-03 1.503109000E-03 1.039561000E-03 7.166800000E-04 4.932390000E-04 3.393340000E-04 2.337020000E-04 1.613690000E-04 1.119330000E-04 7.817500000E-05 5.515900000E-05 3.948000000E-05 2.881200000E-05 2.155400000E-05 1.659800000E-05 1.318900000E-05 1.080300000E-05
