d Fe nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
150 1.000000000E+01 1.275592146E+00 1.233496354E+00 4.209579200E-02 1.253811768E+00 1.215507101E+00 3.830466700E-02 2.178037800E-02 1.798925300E-02
150 1.016672606E+01 1.275638855E+00 1.233574583E+00 4.206427200E-02 1.259827508E+00 1.220835483E+00 3.899202500E-02 1.581134700E-02 1.273910000E-02
150 1.033324570E+01 1.275707041E+00 1.233688518E+00 4.201852300E-02 1.264318852E+00 1.224744500E+00 3.957435200E-02 1.138818900E-02 8.944018000E-03
150 1.049996187E+01 1.275806325E+00 1.233853885E+00 4.195244000E-02 1.267672716E+00 1.227619311E+00 4.005340500E-02 8.133609000E-03 6.234574000E-03
150 1.066670514E+01 1.275950379E+00 1.234092715E+00 4.185766400E-02 1.270189829E+00 1.229772208E+00 4.041762100E-02 5.760550000E-03 4.320507000E-03
150 1.083333839E+01 1.276158317E+00 1.234435118E+00 4.172319900E-02 1.272109203E+00 1.231454750E+00 4.065445300E-02 4.049114000E-03 2.980368000E-03
150 1.100000000E+01 1.276456285E+00 1.234921068E+00 4.153521700E-02 1.273627273E+00 1.232871986E+00 4.075528700E-02 2.829012000E-03 2.049082000E-03
150 1.116672606E+01 1.276878946E+00 1.235600888E+00 4.127805800E-02 1.274910349E+00 1.234195039E+00 4.071531000E-02 1.968597000E-03 1.405849000E-03
150 1.133324570E+01 1.277470157E+00 1.236533611E+00 4.093654600E-02 1.276102590E+00 1.235569686E+00 4.053290400E-02 1.367567000E-03 9.639250000E-04
150 1.149996187E+01 1.278281988E+00 1.237780808E+00 4.050118000E-02 1.277330963E+00 1.237118960E+00 4.021200300E-02 9.510250000E-04 6.618480000E-04
150 1.166670514E+01 1.279370903E+00 1.239395039E+00 3.997586400E-02 1.278706581E+00 1.238938617E+00 3.976796400E-02 6.643220000E-04 4.564220000E-04
150 1.183333839E+01 1.280790715E+00 1.241404615E+00 3.938610000E-02 1.280322552E+00 1.241087029E+00 3.923552300E-02 4.681630000E-04 3.175860000E-04
150 1.200000000E+01 1.282583838E+00 1.243800876E+00 3.878296200E-02 1.282249170E+00 1.243576463E+00 3.867270700E-02 3.346680000E-04 2.244130000E-04
150 1.216672606E+01 1.284774128E+00 1.246536962E+00 3.823716600E-02 1.284529893E+00 1.246374685E+00 3.815520800E-02 2.442350000E-04 1.622770000E-04
150 1.233324570E+01 1.287364118E+00 1.249542523E+00 3.782159500E-02 1.287181041E+00 1.249421569E+00 3.775947200E-02 1.830770000E-04 1.209540000E-04
150 1.249996187E+01 1.290337014E+00 1.252748191E+00 3.758882300E-02 1.290195483E+00 1.252654868E+00 3.754061500E-02 1.415310000E-04 9.332300000E-05
150 1.266670514E+01 1.293661708E+00 1.256106935E+00 3.755477300E-02 1.293548818E+00 1.256032412E+00 3.751640600E-02 1.128900000E-04 7.452300000E-05
150 1.283333839E+01 1.297300215E+00 1.259603367E+00 3.769684800E-02 1.297207655E+00 1.259542049E+00 3.766560600E-02 9.256000000E-05 6.131800000E-05
150 1.300000000E+01 1.301217170E+00 1.263249966E+00 3.796720400E-02 1.301139676E+00 1.263198328E+00 3.794134800E-02 7.749400000E-05 5.163800000E-05
180 1.000000000E+01 1.271893939E+00 1.228775229E+00 4.311871000E-02 1.250551085E+00 1.211047494E+00 3.950359100E-02 2.134285400E-02 1.772773500E-02
180 1.016672606E+01 1.271966289E+00 1.228899283E+00 4.306700600E-02 1.256620917E+00 1.216399859E+00 4.022105800E-02 1.534537200E-02 1.249942400E-02
180 1.033324570E+01 1.272071608E+00 1.229079314E+00 4.299229400E-02 1.261127352E+00 1.220342060E+00 4.078529200E-02 1.094425600E-02 8.737254000E-03
180 1.049996187E+01 1.272224332E+00 1.229339205E+00 4.288512700E-02 1.264480439E+00 1.223274309E+00 4.120613000E-02 7.743893000E-03 6.064896000E-03
180 1.066670514E+01 1.272444631E+00 1.229711652E+00 4.273297900E-02 1.267005485E+00 1.225525240E+00 4.148024500E-02 5.439146000E-03 4.186412000E-03
180 1.083333839E+01 1.272759973E+00 1.230239823E+00 4.252015000E-02 1.268963681E+00 1.227362692E+00 4.160098900E-02 3.796292000E-03 2.877131000E-03
180 1.100000000E+01 1.273206557E+00 1.230977953E+00 4.222860400E-02 1.270569577E+00 1.229007030E+00 4.156254700E-02 2.636980000E-03 1.970923000E-03
180 1.116672606E+01 1.273829783E+00 1.231992947E+00 4.183683600E-02 1.272003412E+00 1.230604233E+00 4.139917900E-02 1.826371000E-03 1.388714000E-03
180 1.133324570E+01 1.274682655E+00 1.233329526E+00 4.135312900E-02 1.273418520E+00 1.232393190E+00 4.102533000E-02 1.264135000E-03 9.363360000E-04
180 1.149996187E+01 1.275820967E+00 1.235068336E+00 4.075263100E-02 1.274944021E+00 1.234427497E+00 4.051652400E-02 8.769460000E-04 6.408390000E-04
