N_B d154 d184 d214 d244
d 150 180 210 240
1.500000000E+01 1.018633477E+00 1.017655546E+00 1.016922579E+00 1.016347537E+00
1.600000000E+01 1.226673007E+00 1.220676115E+00 1.214993925E+00 1.210252277E+00
1.700000000E+01 1.214801173E+00 1.207770365E+00 1.201406118E+00 1.197601171E+00
1.549996187E+01 1.171510906E+00 1.159939422E+00 1.149549100E+00 1.139761027E+00
1.649996187E+01 1.222804058E+00 1.215738684E+00 1.209385516E+00 1.203829005E+00
1.674996808E+01 1.217812453E+00 1.210426727E+00 1.203981004E+00 1.198608101E+00
1.624993176E+01 1.227189010E+00 1.220711030E+00 1.214809386E+00 1.209486534E+00
1.574996808E+01 1.215566974E+00 1.208860733E+00 1.203291095E+00 1.197972803E+00
1.524993176E+01 1.010981589E+00 1.009885842E+00 1.009069789E+00 1.008440219E+00
