N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 7.315300000E-05 5.998800000E-05 3.450600000E-05 -1.983300000E-05 6.319900000E-05 6.785900000E-05 8.495200000E-05 1.219550000E-04 1.920970000E-04 3.176100000E-04 5.300400000E-04
1.600000000E+01 1.107274000E-03 9.858140000E-04 9.058250000E-04 8.684050000E-04 8.732850000E-04 9.150600000E-04 9.819980000E-04 1.054724000E-03 1.089545000E-03 1.022520000E-03 7.460190000E-04
1.700000000E+01 1.587918500E-02 1.430221700E-02 1.287478400E-02 1.160844300E-02 1.065340400E-02 1.008176800E-02 9.919464000E-03 1.022511000E-02 1.098983300E-02 1.223168500E-02 1.392627900E-02
1.549996187E+01 2.897120000E-04 2.672360000E-04 2.566400000E-04 2.530980000E-04 2.470520000E-04 2.197080000E-04 1.365370000E-04 -4.600200000E-05 1.232540000E-04 1.312720000E-04 1.568160000E-04
1.649996187E+01 4.374727000E-03 3.871737000E-03 3.461115000E-03 3.166157000E-03 3.003730000E-03 2.979605000E-03 3.093040000E-03 3.342959000E-03 3.715379000E-03 4.187680000E-03 4.709515000E-03
1.674996808E+01 8.524890000E-03 7.596710000E-03 6.784950000E-03 6.141651000E-03 5.705522000E-03 5.506413000E-03 5.557575000E-03 5.870861000E-03 6.444156000E-03 7.254448000E-03 8.280678000E-03
1.624993176E+01 2.200888000E-03 1.945083000E-03 1.755290000E-03 1.639127000E-03 1.598804000E-03 1.634522000E-03 1.740936000E-03 1.905992000E-03 2.110204000E-03 2.306706000E-03 2.423047000E-03
1.574996808E+01 5.624970000E-04 5.087990000E-04 4.791830000E-04 4.720130000E-04 4.829670000E-04 5.009630000E-04 5.078700000E-04 4.657330000E-04 3.143020000E-04 -1.798700000E-05 1.749910000E-04
1.524993176E+01 1.497020000E-04 1.385750000E-04 1.284640000E-04 1.097920000E-04 6.408700000E-05 -3.593400000E-05 8.806100000E-05 9.462900000E-05 1.163590000E-04 1.609270000E-04 2.422250000E-04
