fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc Pm FF Vm Im dev 
0L36 32462 300.03 38.643 1.072780195E-10 2.613765116E+00 6.157081160E+03 9.269167458E-05 4.600146203E+00 2.471219171E+03 0.000000000E+00 2.552694184E-04 4.958647394E-01 2.277866727E-04 4.368266861E-05 3.867386920E-01 2.901211509E-01 1.505669906E-04 1.920571895E-03 
0L37 32482 300.02 38.645 1.199709995E-10 2.632040944E+00 6.262032856E+03 9.436144575E-05 4.638556132E+00 2.486810381E+03 0.000000000E+00 2.547242056E-04 4.957924239E-01 2.275000849E-04 4.365904233E-05 3.870728909E-01 2.898909468E-01 1.506050562E-04 7.958328356E-04 
0L38 32502 300.02 38.645 9.740501240E-11 2.585593388E+00 6.091288639E+03 8.863978621E-05 4.535625315E+00 2.431478979E+03 0.000000000E+00 2.552372320E-04 4.956324723E-01 2.278528827E-04 4.364722771E-05 3.864936692E-01 2.898015322E-01 1.506107555E-04 9.171409099E-04 
L353 38842 300.02 38.645 5.947772199E-11 2.541632789E+00 6.054410762E+03 9.284626683E-05 4.738684668E+00 2.494415233E+03 0.000000000E+00 2.509156180E-04 4.964895310E-01 2.229145314E-04 4.281732091E-05 3.868753099E-01 2.910296079E-01 1.471235907E-04 2.203047470E-03 
L354 38860 300.01 38.646 1.129327094E-10 2.639668082E+00 6.236145378E+03 9.386659965E-05 4.643698077E+00 2.505364918E+03 0.000000000E+00 2.499606183E-04 4.965949538E-01 2.228441811E-04 4.279070665E-05 3.866747898E-01 2.909405294E-01 1.470771595E-04 1.108851746E-03 
L355 38882 300.01 38.646 9.265120855E-11 2.589395077E+00 6.129690731E+03 8.784073458E-05 4.533785636E+00 2.437376081E+03 0.000000000E+00 2.499266938E-04 4.964042918E-01 2.230246371E-04 4.283035078E-05 3.868684044E-01 2.909744490E-01 1.471962605E-04 6.565657334E-04 
L356 38900 300.01 38.646 1.505227812E-10 2.657756046E+00 6.260774802E+03 8.672050911E-05 4.405111754E+00 2.416350790E+03 0.000000000E+00 2.488588075E-04 4.961831423E-01 2.228821806E-04 4.280501012E-05 3.870590717E-01 2.909881614E-01 1.471022392E-04 9.976992135E-04 
L357 38920 300 38.647 1.634948715E-10 2.676294954E+00 6.246259334E+03 8.726452112E-05 4.389301725E+00 2.414574666E+03 0.000000000E+00 2.488032769E-04 4.964451917E-01 2.228179726E-04 4.279297258E-05 3.868574176E-01 2.914317221E-01 1.468370439E-04 1.581280508E-03 
L358 38940 300.01 38.646 1.608027679E-10 2.667015400E+00 6.311534764E+03 8.688825336E-05 4.413916908E+00 2.413831597E+03 0.000000000E+00 2.483730265E-04 4.962737232E-01 2.225927801E-04 4.277233226E-05 3.871957463E-01 2.911440524E-01 1.469112348E-04 1.051290102E-03 
L359 38960 300.02 38.645 9.226215074E-11 2.596342587E+00 6.176667201E+03 9.104090240E-05 4.635680051E+00 2.466974654E+03 0.000000000E+00 2.499112379E-04 4.963643840E-01 2.227992043E-04 4.277860188E-05 3.868230450E-01 2.909169431E-01 1.470474749E-04 8.372725414E-04 
L360 38980 300.02 38.645 6.542176255E-11 2.549404809E+00 6.064602512E+03 9.115135005E-05 4.665166027E+00 2.472802375E+03 0.000000000E+00 2.505400871E-04 4.963451880E-01 2.228896104E-04 4.282540287E-05 3.871041403E-01 2.911170868E-01 1.471071428E-04 1.214904573E-03 
L361 39002 300.01 38.646 1.898215521E-10 2.697916381E+00 6.282756715E+03 8.680735830E-05 4.334812337E+00 2.410931717E+03 0.000000000E+00 2.485218278E-04 4.962001369E-01 2.228207029E-04 4.278273305E-05 3.869511174E-01 2.913584180E-01 1.468388432E-04 1.785201568E-03 
L362 39020 300.02 38.645 1.069687321E-10 2.625792837E+00 6.293615074E+03 9.440071818E-05 4.743750465E+00 2.500535368E+03 0.000000000E+00 2.499365227E-04 4.966508630E-01 2.228176939E-04 4.277737951E-05 3.865567908E-01 2.904444232E-01 1.472824957E-04 9.849457978E-04 
