fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc Pm FF Vm Im dev 
00L1 27792 300.01 38.646 6.796474240E-09 3.292348850E+00 8.019959047E+03 8.315839000E-05 3.794172277E+00 2.351770227E+03 0.000000000E+00 2.529089245E-04 4.921933345E-01 2.320863930E-04 4.375618248E-05 3.830487222E-01 2.847946040E-01 1.536411921E-04 1.707773186E-03 
00L2 31778 300.06 38.64 3.666426063E-09 3.184840308E+00 7.291571092E+03 8.306812839E-05 3.717109101E+00 2.308076447E+03 0.000000000E+00 2.520144936E-04 4.918422926E-01 2.303028014E-04 4.357062326E-05 3.846526080E-01 2.866491221E-01 1.519998490E-04 5.093384746E-03 
00L3 31800 300.07 38.638 1.404383412E-09 3.007547454E+00 6.943027434E+03 8.671796065E-05 3.977700350E+00 2.359887165E+03 0.000000000E+00 2.531198085E-04 4.930916537E-01 2.299231862E-04 4.372980175E-05 3.857154969E-01 2.877353891E-01 1.519792261E-04 9.469102327E-04 
00L4 31822 300.07 38.638 9.613653731E-10 2.939651402E+00 6.700547941E+03 8.570500001E-05 3.982562342E+00 2.360918993E+03 0.000000000E+00 2.538535089E-04 4.930871580E-01 2.299979715E-04 4.374902594E-05 3.857631065E-01 2.882042937E-01 1.517986612E-04 1.491577299E-03 
0L10 31942 300.03 38.643 1.299440328E-09 3.004144913E+00 6.811599429E+03 8.447856393E-05 3.865160000E+00 2.337972003E+03 0.000000000E+00 2.523256341E-04 4.943187180E-01 2.292311499E-04 4.378303358E-05 3.863893613E-01 2.893931723E-01 1.512925589E-04 2.361255385E-03 
0L11 31964 300.03 38.643 9.325087056E-10 2.936308645E+00 6.751895681E+03 8.465526238E-05 3.956618813E+00 2.344116648E+03 0.000000000E+00 2.526170433E-04 4.942651774E-01 2.291574027E-04 4.381087760E-05 3.868014091E-01 2.892321741E-01 1.514730432E-04 1.888293922E-03 
0L12 31982 300.03 38.643 8.865578156E-10 2.937897455E+00 6.749068321E+03 8.731062458E-05 4.032723857E+00 2.375155143E+03 0.000000000E+00 2.529367934E-04 4.945307804E-01 2.291362858E-04 4.380255393E-05 3.865558374E-01 2.892038728E-01 1.514590849E-04 2.167128438E-03 
0L13 32004 300.02 38.645 1.908317695E-09 3.073069102E+00 7.040917855E+03 8.340545011E-05 3.796758971E+00 2.320387669E+03 0.000000000E+00 2.511020853E-04 4.945522101E-01 2.288408707E-04 4.374423050E-05 3.865227339E-01 2.891916374E-01 1.512638155E-04 1.226724748E-03 
0L14 32022 300.02 38.645 8.811357211E-10 2.928589555E+00 6.712105192E+03 8.458633998E-05 3.982498574E+00 2.344467494E+03 0.000000000E+00 2.524580150E-04 4.945060498E-01 2.288234217E-04 4.372274865E-05 3.863984463E-01 2.890716632E-01 1.512522818E-04 2.643931974E-03 
0L15 32042 300.03 38.643 2.309424201E-10 2.708036800E+00 6.262702524E+03 8.668445105E-05 4.226683304E+00 2.396455698E+03 0.000000000E+00 2.547298034E-04 4.943009780E-01 2.288999843E-04 4.381230513E-05 3.872209722E-01 2.895668764E-01 1.513028896E-04 2.599696961E-03 
0L16 32062 300.02 38.645 6.007119601E-10 2.875860274E+00 6.590083303E+03 8.854160524E-05 4.149743180E+00 2.393278289E+03 0.000000000E+00 2.533737451E-04 4.949059118E-01 2.287584032E-04 4.372358197E-05 3.862033489E-01 2.895974554E-01 1.509805461E-04 1.930685040E-03 
0L17 32082 300.03 38.643 9.706832506E-10 2.939101884E+00 6.832930632E+03 8.350664944E-05 3.945288119E+00 2.335196155E+03 0.000000000E+00 2.516348902E-04 4.946311454E-01 2.285234747E-04 4.376156398E-05 3.871511527E-01 2.892704201E-01 1.512825403E-04 1.707343655E-03 
