fname time Tem kT_1 I01 n1 Rsh1 I02 n2 Rsh2 Rs Iph Voc Isc Pm FF Vm Im dev 
00L2 31778 300.06 38.64 2.283725650E-10 2.688827217E+00 6.348624516E+03 8.960005363E-05 4.471150590E+00 2.436428472E+03 0.000000000E+00 2.571082831E-04 4.921534202E-01 2.305535093E-04 4.367576835E-05 3.849180786E-01 2.861612521E-01 1.526264231E-04 1.819969740E-03 
00L3 31800 300.07 38.638 2.329659129E-10 2.700259009E+00 6.400986284E+03 9.090254077E-05 4.448674229E+00 2.445686220E+03 0.000000000E+00 2.563428733E-04 4.927376087E-01 2.300688387E-04 4.377011160E-05 3.861038589E-01 2.869500636E-01 1.525356400E-04 1.460820889E-03 
0L13 32004 300.02 38.645 2.278484948E-10 2.709382379E+00 6.403578190E+03 9.030442574E-05 4.428811878E+00 2.437337951E+03 0.000000000E+00 2.550626092E-04 4.947710859E-01 2.289871754E-04 4.380592754E-05 3.866494605E-01 2.889773013E-01 1.515895101E-04 2.212352771E-03 
0L14 32022 300.02 38.645 2.914757254E-10 2.756490984E+00 6.464698684E+03 9.184925000E-05 4.423224561E+00 2.442067276E+03 0.000000000E+00 2.547030507E-04 4.950021500E-01 2.288132751E-04 4.375535363E-05 3.863161778E-01 2.888630493E-01 1.514743881E-04 2.468478944E-03 
0L15 32042 300.03 38.643 1.702886877E-10 2.663862286E+00 6.335772708E+03 9.063669095E-05 4.489361927E+00 2.444350481E+03 0.000000000E+00 2.552251760E-04 4.946928140E-01 2.287602314E-04 4.378647725E-05 3.869224040E-01 2.886994462E-01 1.516680334E-04 1.178663145E-03 
0L16 32062 300.02 38.645 1.387086977E-10 2.643270225E+00 6.220849711E+03 9.236262196E-05 4.546856849E+00 2.464111236E+03 0.000000000E+00 2.560462369E-04 4.948788871E-01 2.288903321E-04 4.378403852E-05 3.865355495E-01 2.889551096E-01 1.515253999E-04 1.133720987E-03 
0L17 32082 300.03 38.643 1.805825112E-10 2.675300457E+00 6.346392619E+03 9.055492126E-05 4.475897901E+00 2.441449308E+03 0.000000000E+00 2.550912928E-04 4.950810078E-01 2.287132131E-04 4.380982840E-05 3.869047224E-01 2.893492143E-01 1.514081471E-04 5.165793439E-04 
0L18 32102 300.02 38.645 3.004736408E-10 2.745685043E+00 6.350020359E+03 8.385937867E-05 4.151115115E+00 2.380730823E+03 0.000000000E+00 2.540372125E-04 4.950940433E-01 2.287585262E-04 4.380002768E-05 3.867313632E-01 2.896647417E-01 1.512093858E-04 1.443566180E-03 
0L19 32124 300.02 38.645 9.099177446E-11 2.599235474E+00 6.150922882E+03 9.702381934E-05 4.781137951E+00 2.517298736E+03 0.000000000E+00 2.569613057E-04 4.958604467E-01 2.286663659E-04 4.377621218E-05 3.860792168E-01 2.896239227E-01 1.511484679E-04 2.856899911E-03 
0L20 32142 300.02 38.645 1.660155122E-10 2.671584280E+00 6.260425636E+03 9.150972676E-05 4.472738433E+00 2.448940438E+03 0.000000000E+00 2.551700429E-04 4.951968416E-01 2.284645458E-04 4.376539138E-05 3.868424603E-01 2.898081158E-01 1.510150648E-04 1.279490071E-03 
0L21 32162 300.03 38.643 1.790891242E-10 2.676033983E+00 6.307719083E+03 9.009802016E-05 4.468332387E+00 2.437087532E+03 0.000000000E+00 2.548869338E-04 4.952565415E-01 2.284150097E-04 4.372942237E-05 3.865617521E-01 2.891952212E-01 1.512107364E-04 2.652837824E-03 
0L22 32182 300.03 38.643 9.657275767E-11 2.595813522E+00 6.210530389E+03 9.466234009E-05 4.709002209E+00 2.494801902E+03 0.000000000E+00 2.561064443E-04 4.954405491E-01 2.283975401E-04 4.376706193E-05 3.867803686E-01 2.894662813E-01 1.511991716E-04 1.280100720E-03 
0L23 32202 300.02 38.645 1.620866777E-10 2.667936827E+00 6.265807344E+03 9.145132697E-05 4.547401404E+00 2.449308194E+03 0.000000000E+00 2.553537510E-04 4.958021576E-01 2.284449232E-04 4.371851269E-05 3.859894686E-01 2.895225588E-01 1.510020942E-04 1.147083302E-03 
0L24 32222 300.02 38.645 1.524478125E-10 2.655262626E+00 6.244653519E+03 9.043013996E-05 4.447675282E+00 2.441592433E+03 0.000000000E+00 2.549114913E-04 4.951686656E-01 2.282807017E-04 4.377407661E-05 3.872528656E-01 2.896608530E-01 1.511218246E-04 1.326476801E-03 
0L25 32242 300.02 38.645 1.183656884E-10 2.620270757E+00 6.231416967E+03 9.235180068E-05 4.603231750E+00 2.466075034E+03 0.000000000E+00 2.553691676E-04 4.954321991E-01 2.281684167E-04 4.372748420E-05 3.868251780E-01 2.894949375E-01 1.510474918E-04 1.843234531E-03 
0L26 32262 300.02 38.645 2.611880913E-10 2.743710360E+00 6.346065346E+03 9.031775348E-05 4.342460040E+00 2.426825028E+03 0.000000000E+00 2.540814548E-04 4.953022164E-01 2.281228030E-04 4.368661294E-05 3.866423342E-01 2.897198262E-01 1.507891728E-04 2.181119275E-03 
0L27 32284 300.02 38.645 2.448086085E-10 2.727464114E+00 6.404277423E+03 9.027567479E-05 4.395832400E+00 2.431075635E+03 0.000000000E+00 2.539389335E-04 4.952749477E-01 2.280447307E-04 4.368813061E-05 3.868094356E-01 2.893912734E-01 1.509656117E-04 1.135791160E-03 
0L28 32304 300.01 38.646 1.986411022E-10 2.686679408E+00 6.322229568E+03 8.729149304E-05 4.350899773E+00 2.410565561E+03 0.000000000E+00 2.540207056E-04 4.954117425E-01 2.280694717E-04 4.373576984E-05 3.870823086E-01 2.896754094E-01 1.509819903E-04 1.981740296E-03 
0L29 32322 300.03 38.643 2.291205141E-10 2.713333442E+00 6.353675709E+03 8.832697281E-05 4.354652794E+00 2.409076132E+03 0.000000000E+00 2.539240910E-04 4.956134270E-01 2.280682102E-04 4.373259171E-05 3.868988132E-01 2.896559618E-01 1.509811552E-04 1.095115890E-03 
0L30 32342 300.02 38.645 1.031089989E-10 2.604706621E+00 6.213297707E+03 9.379360312E-05 4.676595157E+00 2.480674283E+03 0.000000000E+00 2.554926719E-04 4.956250879E-01 2.279776060E-04 4.370291350E-05 3.867808114E-01 2.895744315E-01 1.509211752E-04 2.308785876E-03 
0L31 32362 300.02 38.645 1.203822187E-10 2.623641340E+00 6.240572074E+03 9.216707474E-05 4.579510637E+00 2.459566104E+03 0.000000000E+00 2.548703662E-04 4.955806501E-01 2.278350405E-04 4.371953685E-05 3.872047649E-01 2.898658446E-01 1.508267968E-04 1.142201499E-03 
0L32 32384 300.03 38.643 1.804994713E-10 2.681804616E+00 6.350770271E+03 9.111931363E-05 4.509789864E+00 2.442510889E+03 0.000000000E+00 2.540770364E-04 4.957014934E-01 2.276868032E-04 4.364790939E-05 3.867277713E-01 2.895793562E-01 1.507286637E-04 1.740628355E-03 
