T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.204814079E+00 1.200742015E+00 4.072064000E-03 1.204795293E+00 1.200690563E+00 4.104730000E-03 1.878600000E-05 5.145200000E-05
295 1.198114853E+00 1.200266624E+00 -2.151771000E-03 1.198099598E+00 1.200220721E+00 -2.121123000E-03 1.525500000E-05 4.590300000E-05
300 1.183188365E+00 1.199695153E+00 -1.650678800E-02 1.183177755E+00 1.199654268E+00 -1.647651300E-02 1.061000000E-05 4.088500000E-05
305 1.151831276E+00 1.197678943E+00 -4.584766700E-02 1.151828714E+00 1.197642228E+00 -4.581351400E-02 2.562000000E-06 3.671500000E-05
310 1.091679010E+00 1.191607295E+00 -9.992828500E-02 1.091691441E+00 1.191574605E+00 -9.988316400E-02 -1.243100000E-05 3.269000000E-05
315 1.017647800E+00 1.174801303E+00 -1.571535030E-01 1.017629543E+00 1.174775206E+00 -1.571456630E-01 1.825700000E-05 2.609700000E-05
320 1.018247297E+00 1.134653238E+00 -1.164059410E-01 1.018227522E+00 1.134641530E+00 -1.164140080E-01 1.977500000E-05 1.170800000E-05
325 1.021083563E+00 1.053584167E+00 -3.250060400E-02 1.021058707E+00 1.053600934E+00 -3.254222700E-02 2.485600000E-05 -1.676700000E-05
330 1.026940830E+00 1.016750769E+00 1.019006100E-02 1.026904984E+00 1.016718724E+00 1.018626000E-02 3.584600000E-05 3.204500000E-05
335 1.036842929E+00 1.018833397E+00 1.800953200E-02 1.036786203E+00 1.018796936E+00 1.798926700E-02 5.672600000E-05 3.646100000E-05
340 1.051833797E+00 1.023644573E+00 2.818922400E-02 1.051739610E+00 1.023597121E+00 2.814248900E-02 9.418700000E-05 4.745200000E-05
