T nFsrh nFBsrh dnsrh nF nFB dn dnF dnFB
290 1.206424787E+00 1.193539651E+00 1.288513600E-02 1.206028308E+00 1.192798605E+00 1.322970300E-02 3.964790000E-04 7.410460000E-04
295 1.202470160E+00 1.194783416E+00 7.686744000E-03 1.202090889E+00 1.194085594E+00 8.005295000E-03 3.792710000E-04 6.978220000E-04
300 1.192160671E+00 1.196201479E+00 -4.040808000E-03 1.191800161E+00 1.195509426E+00 -3.709265000E-03 3.605100000E-04 6.920530000E-04
305 1.169092049E+00 1.197108731E+00 -2.801668200E-02 1.168783908E+00 1.196396881E+00 -2.761297300E-02 3.081410000E-04 7.118500000E-04
310 1.122862311E+00 1.196333725E+00 -7.347141400E-02 1.122701980E+00 1.195583955E+00 -7.288197500E-02 1.603310000E-04 7.497700000E-04
315 1.040682181E+00 1.191131684E+00 -1.504495030E-01 1.040842807E+00 1.190348748E+00 -1.495059410E-01 -1.606260000E-04 7.829360000E-04
320 1.010596972E+00 1.176069214E+00 -1.654722420E-01 1.010380057E+00 1.175301614E+00 -1.649215570E-01 2.169150000E-04 7.676000000E-04
325 1.011551107E+00 1.139303806E+00 -1.277526990E-01 1.011307096E+00 1.138722882E+00 -1.274157860E-01 2.440110000E-04 5.809240000E-04
330 1.013973263E+00 1.063217600E+00 -4.924433700E-02 1.013659565E+00 1.063175097E+00 -4.951553200E-02 3.136980000E-04 4.250300000E-05
335 1.018379140E+00 1.008902568E+00 9.476572000E-03 1.017930445E+00 1.008585880E+00 9.344565000E-03 4.486950000E-04 3.166880000E-04
340 1.025457180E+00 1.010090003E+00 1.536717700E-02 1.024768622E+00 1.009726710E+00 1.504191200E-02 6.885580000E-04 3.632930000E-04
