fname time Tem kT_1 n1 Rs ta_n Rsh n2 ta_g dev 
0001 8:32:16 296.9 39.05 1.000E+000 1.038E+000 2.269E-006 3.686E+003 3.117E+000 6.508E-009 1.957E-003 
0002 8:35:10 297 39.04 1.000E+000 1.042E+000 2.369E-006 3.648E+003 3.103E+000 6.710E-009 1.981E-003 
0003 8:40:08 297 39.04 1.000E+000 9.835E-001 2.417E-006 3.703E+003 3.126E+000 6.523E-009 2.109E-003 
0004 8:43:12 296.9 39.05 1.000E+000 1.035E+000 2.429E-006 3.820E+003 3.134E+000 6.336E-009 2.059E-003 
0005 8:46:26 296.9 39.05 1.000E+000 1.003E+000 2.503E-006 3.703E+003 3.107E+000 6.586E-009 2.079E-003 
0006 8:49:20 296.9 39.05 1.000E+000 9.969E-001 2.522E-006 3.669E+003 3.104E+000 6.635E-009 1.883E-003 
0007 8:53:32 297 39.04 1.000E+000 1.108E+000 2.186E-006 3.890E+003 3.154E+000 6.247E-009 2.011E-003 
0008 8:56:58 296.9 39.05 1.000E+000 9.854E-001 2.497E-006 3.820E+003 3.132E+000 6.366E-009 2.054E-003 
0009 9:01:08 297 39.04 1.000E+000 9.790E-001 2.476E-006 3.726E+003 3.119E+000 6.542E-009 2.025E-003 
0010 9:04:40 297.1 39.02 1.000E+000 1.018E+000 2.433E-006 3.843E+003 3.132E+000 6.428E-009 2.006E-003 
0011 9:13:00 297 39.04 1.000E+000 9.856E-001 2.530E-006 3.769E+003 3.126E+000 6.501E-009 2.043E-003 
0012 9:15:06 297 39.04 1.000E+000 9.793E-001 2.588E-006 3.703E+003 3.107E+000 6.682E-009 1.993E-003 
0013 9:18:06 297 39.04 1.000E+000 9.949E-001 2.516E-006 3.843E+003 3.140E+000 6.367E-009 2.074E-003 
