Ew Nt
4.4633386E-1 7.5404606E+15
4.4361825E-1 6.4764193E+15
4.4090261E-1 5.5838949E+15
4.3818697E-1 4.8340717E+15
4.3547134E-1 4.2061128E+15
4.3275571E-1 3.6849787E+15
4.3004007E-1 3.2562410E+15
4.2732445E-1 2.9046631E+15
4.2460881E-1 2.6160921E+15
4.2189318E-1 2.3794731E+15
4.1917755E-1 2.1876731E+15
4.1646191E-1 2.0374258E+15
4.1374629E-1 1.9279791E+15
4.1103065E-1 1.8583915E+15
4.0831502E-1 1.8248936E+15
4.0559939E-1 1.8208686E+15
4.0288376E-1 1.8397373E+15
4.0016813E-1 1.8777590E+15
3.9745250E-1 1.9337562E+15
3.9473687E-1 2.0062854E+15
3.9202123E-1 2.0917675E+15
3.8930560E-1 2.1859513E+15
3.8658997E-1 2.2872035E+15
3.8387434E-1 2.3977170E+15
3.8115871E-1 2.5205653E+15
3.7844308E-1 2.6547314E+15
3.7572744E-1 2.7923896E+15
3.7301181E-1 2.9206734E+15
3.7029618E-1 3.0263984E+15
3.6758055E-1 3.1002909E+15
3.6486492E-1 3.1384824E+15
3.6214929E-1 3.1415131E+15
3.5943366E-1 3.1125814E+15
3.5671802E-1 3.0564032E+15
3.5400239E-1 2.9786639E+15
3.5128676E-1 2.8853912E+15
3.4857113E-1 2.7822103E+15
3.4585550E-1 2.6740205E+15
3.4313987E-1 2.5652073E+15
3.4042423E-1 2.4598334E+15
3.3770860E-1 2.3613755E+15
3.3499297E-1 2.2722502E+15
3.3227734E-1 2.1936690E+15
3.2956171E-1 2.1259632E+15
3.2684607E-1 2.0690458E+15
3.2413044E-1 2.0226567E+15
3.2141481E-1 1.9864534E+15
3.1869918E-1 1.9601857E+15
3.1598355E-1 1.9438621E+15
3.1326792E-1 1.9375525E+15
3.1055229E-1 1.9407246E+15
3.0783665E-1 1.9516926E+15
3.0512102E-1 1.9678317E+15
3.0240539E-1 1.9865071E+15
2.9968976E-1 2.0058627E+15
2.9697413E-1 2.0246784E+15
2.9425850E-1 2.0412370E+15
2.9154287E-1 2.0514482E+15
2.8882723E-1 2.0460248E+15
2.8611160E-1 2.0065999E+15
2.8339597E-1 1.9027706E+15
2.8068034E-1 1.6950835E+15
2.7796471E-1 1.3486325E+15
2.7524908E-1 8.5487182E+14
2.7253344E-1 5.6594144E+14
