Ytrue Nb T d Ypred RSE
31620000000000.058594 10000000000000000.000000 297.000000 0.000230 42115144876032.000000 0.082714
3162000000000.005859 31620000000000060.000000 310.000000 0.000230 3068924264448.000000 0.000893
1143000000000.001953 90000000000000064.000000 314.000000 0.000350 1031274627072.000000 0.010590
200900000000.000061 10000000000000000.000000 305.000000 0.000330 199840710656.000000 0.000028
57160000000.000046 56229999999999776.000000 340.000000 0.000180 53258735616.000000 0.005000
6812999999999.998047 1778000000000002.250000 315.000000 0.000180 7367692910592.000000 0.006130
21540000000000.042969 10000000000000000.000000 312.000000 0.000230 26337710440448.000000 0.040574
4642000000000.007812 3162000000000006.000000 295.000000 0.000380 5533246423040.000000 0.030925
100000000000000.000000 10000000000000000.000000 320.000000 0.000380 105289168715776.000000 0.002657
14679999999999.988281 10000000000000000.000000 300.000000 0.000180 16068048322560.000000 0.008168
1000000000000.000000 5623000000000000.000000 320.000000 0.000330 1188741775360.000000 0.029967
21540000000.000042 5623000000000000.000000 320.000000 0.000230 76176105472.000000 1.819261
215400000000.000427 10000000000000000.000000 325.000000 0.000380 383973261312.000000 0.343582
3162000000000.005859 17779999999999950.000000 295.000000 0.000230 3311801991168.000000 0.002143
14679999999.999989 56229999999999776.000000 315.000000 0.000330 14867938304.000000 0.000162
68129999999999.976562 45000000000000032.000000 305.000000 0.000280 73355667439616.000000 0.005464
2154000000000.004395 5623000000000000.000000 320.000000 0.000380 2300161032192.000000 0.004312
10000000000.000000 56229999999999776.000000 320.000000 0.000180 8782821376.000000 0.016868
68129999999.999977 10000000000000000.000000 295.000000 0.000230 66511241216.000000 0.000578
4642000000000.007812 3162000000000006.000000 335.000000 0.000380 5049706610688.000000 0.007091
146799999999.999878 10000000000000000.000000 302.000000 0.000230 141764804608.000000 0.001218
215400000000.000427 1778000000000002.250000 300.000000 0.000180 238703673344.000000 0.010562
1000000000000.000000 100000000000000000.000000 325.000000 0.000280 959234965504.000000 0.001732
31620000000000.058594 31620000000000060.000000 325.000000 0.000380 30116837064704.000000 0.002373
464200000000.000854 56229999999999776.000000 295.000000 0.000230 458845913088.000000 0.000135
1000000000000.000000 3162000000000006.000000 300.000000 0.000230 1050256932864.000000 0.002405
14679999999.999989 5623000000000000.000000 325.000000 0.000330 42697138176.000000 1.252341
14679999999.999989 56229999999999776.000000 320.000000 0.000380 14495523840.000000 0.000160
464200000000.000854 17779999999999950.000000 315.000000 0.000330 440639094784.000000 0.002714
