Ytrue Nb T d Ypred RSE
10000000000.000000 1360000000000001.000000 290.000000 0.000380 38011920384.000000 2.064267
14679999999.999989 1360000000000001.000000 290.000000 0.000380 34136227840.000000 0.755398
21540000000.000042 1360000000000001.000000 290.000000 0.000380 30899681280.000000 0.131620
31620000000.000057 1360000000000001.000000 290.000000 0.000380 30204923904.000000 0.002097
46420000000.000084 1360000000000001.000000 290.000000 0.000380 32344180736.000000 0.131961
68129999999.999977 1360000000000001.000000 290.000000 0.000380 49621200896.000000 0.101333
100000000000.000000 1360000000000001.000000 290.000000 0.000380 75929272320.000000 0.076308
146799999999.999878 1360000000000001.000000 290.000000 0.000380 88779120640.000000 0.258304
215400000000.000427 1360000000000001.000000 290.000000 0.000380 79379046400.000000 1.082082
316200000000.000610 1360000000000001.000000 290.000000 0.000380 30026897408.000000 8.625520
464200000000.000854 1360000000000001.000000 290.000000 0.000380 545223016448.000000 0.025938
681299999999.999756 1360000000000001.000000 290.000000 0.000380 845126762496.000000 0.046613
1000000000000.000000 1360000000000001.000000 290.000000 0.000380 1218324463616.000000 0.039124
1467999999999.998779 1360000000000001.000000 290.000000 0.000380 1668877647872.000000 0.016471
2154000000000.004395 1360000000000001.000000 290.000000 0.000380 2267318845440.000000 0.002629
3162000000000.005859 1360000000000001.000000 290.000000 0.000380 3398432194560.000000 0.005202
4642000000000.007812 1360000000000001.000000 290.000000 0.000380 4970244472832.000000 0.004670
6812999999999.998047 1360000000000001.000000 290.000000 0.000380 7040010289152.000000 0.001074
10000000000000.000000 1360000000000001.000000 290.000000 0.000380 10140061270016.000000 0.000193
14679999999999.988281 1360000000000001.000000 290.000000 0.000380 15248279994368.000000 0.001443
21540000000000.042969 1360000000000001.000000 290.000000 0.000380 22506268262400.000000 0.001926
31620000000000.058594 1360000000000001.000000 290.000000 0.000380 32585424044032.000000 0.000905
46420000000000.085938 1360000000000001.000000 290.000000 0.000380 47600585670656.000000 0.000631
68129999999999.976562 1360000000000001.000000 290.000000 0.000380 72154745929728.000000 0.003295
100000000000000.000000 1360000000000001.000000 290.000000 0.000380 109186968977408.000000 0.007730
10000000000.000000 1360000000000001.000000 295.000000 0.000380 37889085440.000000 2.052837
14679999999.999989 1360000000000001.000000 295.000000 0.000380 36203307008.000000 0.871653
21540000000.000042 1360000000000001.000000 295.000000 0.000380 35564507136.000000 0.256751
31620000000.000057 1360000000000001.000000 295.000000 0.000380 34765856768.000000 0.009002
46420000000.000084 1360000000000001.000000 295.000000 0.000380 37440147456.000000 0.046398
68129999999.999977 1360000000000001.000000 295.000000 0.000380 42694230016.000000 0.222424
100000000000.000000 1360000000000001.000000 295.000000 0.000380 46766743552.000000 0.605939
146799999999.999878 1360000000000001.000000 295.000000 0.000380 40729853952.000000 1.881687
215400000000.000427 1360000000000001.000000 295.000000 0.000380 41107058688.000000 3.430817
316200000000.000610 1360000000000001.000000 295.000000 0.000380 368394207232.000000 0.023387
464200000000.000854 1360000000000001.000000 295.000000 0.000380 627439894528.000000 0.091490
681299999999.999756 1360000000000001.000000 295.000000 0.000380 895387697152.000000 0.075134
1000000000000.000000 1360000000000001.000000 295.000000 0.000380 1263543386112.000000 0.054969
1467999999999.998779 1360000000000001.000000 295.000000 0.000380 1675847794688.000000 0.017560
2154000000000.004395 1360000000000001.000000 295.000000 0.000380 2387078807552.000000 0.010566
3162000000000.005859 1360000000000001.000000 295.000000 0.000380 3556185210880.000000 0.013818
4642000000000.007812 1360000000000001.000000 295.000000 0.000380 5104301244416.000000 0.009020
6812999999999.998047 1360000000000001.000000 295.000000 0.000380 7263388958720.000000 0.004099
10000000000000.000000 1360000000000001.000000 295.000000 0.000380 10622553030656.000000 0.003649
14679999999999.988281 1360000000000001.000000 295.000000 0.000380 15924522385408.000000 0.006625
21540000000000.042969 1360000000000001.000000 295.000000 0.000380 23062200188928.000000 0.004664
31620000000000.058594 1360000000000001.000000 295.000000 0.000380 33517264175104.000000 0.003396
46420000000000.085938 1360000000000001.000000 295.000000 0.000380 48918289186816.000000 0.002749
68129999999999.976562 1360000000000001.000000 295.000000 0.000380 74832322494464.000000 0.008811
100000000000000.000000 1360000000000001.000000 295.000000 0.000380 113989975539712.000000 0.017170
10000000000.000000 1360000000000001.000000 300.000000 0.000380 45558689792.000000 2.775366
14679999999.999989 1360000000000001.000000 300.000000 0.000380 44596187136.000000 1.367064
21540000000.000042 1360000000000001.000000 300.000000 0.000380 43431899136.000000 0.512286
31620000000.000057 1360000000000001.000000 300.000000 0.000380 42657492992.000000 0.090320
46420000000.000084 1360000000000001.000000 300.000000 0.000380 41971580928.000000 0.010157
68129999999.999977 1360000000000001.000000 300.000000 0.000380 42114220032.000000 0.235888
100000000000.000000 1360000000000001.000000 300.000000 0.000380 44945981440.000000 0.674353
146799999999.999878 1360000000000001.000000 300.000000 0.000380 79229632512.000000 0.392554
215400000000.000427 1360000000000001.000000 300.000000 0.000380 204319309824.000000 0.002790
316200000000.000610 1360000000000001.000000 300.000000 0.000380 337119117312.000000 0.004105
464200000000.000854 1360000000000001.000000 300.000000 0.000380 514920873984.000000 0.010763
681299999999.999756 1360000000000001.000000 300.000000 0.000380 786736349184.000000 0.020740
1000000000000.000000 1360000000000001.000000 300.000000 0.000380 1175856873472.000000 0.026301
