r0 AplusA epsSig
5.000E-9 3.000E-10 1.800E-3
5.000E-9 3.500E-10 2.450E-3
5.000E-9 4.000E-10 3.200E-3
5.000E-9 4.500E-10 4.050E-3
5.000E-9 5.000E-10 5.000E-3
5.000E-9 5.500E-10 6.050E-3
5.000E-9 6.000E-10 7.200E-3
5.000E-9 6.500E-10 8.450E-3
5.000E-9 7.000E-10 9.800E-3
5.000E-9 7.500E-10 1.125E-2
5.000E-9 8.000E-10 1.280E-2
5.000E-9 8.500E-10 1.445E-2
5.000E-9 9.000E-10 1.620E-2
5.000E-9 9.500E-10 1.805E-2
5.000E-9 1.000E-9 2.000E-2
5.000E-9 1.050E-9 2.205E-2
5.000E-9 1.100E-9 2.420E-2
5.000E-9 1.150E-9 2.645E-2
5.000E-9 1.200E-9 2.880E-2
5.000E-9 1.250E-9 3.125E-2
5.000E-9 1.300E-9 3.380E-2
5.000E-9 1.350E-9 3.645E-2
5.000E-9 1.400E-9 3.920E-2
5.000E-9 1.450E-9 4.205E-2
5.000E-9 1.500E-9 4.500E-2
5.000E-9 1.550E-9 4.805E-2
5.000E-9 1.600E-9 5.120E-2
5.000E-9 1.650E-9 5.445E-2
5.000E-9 1.700E-9 5.780E-2
5.000E-9 1.750E-9 6.125E-2
5.000E-9 1.800E-9 6.480E-2
5.000E-9 1.850E-9 6.845E-2
5.000E-9 1.900E-9 7.220E-2
5.000E-9 1.950E-9 7.605E-2
5.000E-9 2.000E-9 8.000E-2
5.000E-9 2.050E-9 8.405E-2
5.000E-9 2.100E-9 8.820E-2
5.000E-9 2.150E-9 9.245E-2
5.000E-9 2.200E-9 9.680E-2
5.000E-9 2.250E-9 1.013E-1
5.000E-9 2.300E-9 1.058E-1
5.000E-9 2.350E-9 1.105E-1
5.000E-9 2.400E-9 1.152E-1
5.000E-9 2.450E-9 1.201E-1
5.000E-9 2.500E-9 1.250E-1
5.000E-9 2.550E-9 1.301E-1
5.000E-9 2.600E-9 1.352E-1
5.000E-9 2.650E-9 1.405E-1
5.000E-9 2.700E-9 1.458E-1
5.000E-9 2.750E-9 1.512E-1
5.000E-9 2.800E-9 1.568E-1
5.000E-9 2.850E-9 1.624E-1
5.000E-9 2.900E-9 1.682E-1
5.000E-9 2.950E-9 1.741E-1
5.000E-9 3.000E-9 1.800E-1
5.000E-9 3.050E-9 1.861E-1
5.000E-9 3.100E-9 1.922E-1
5.000E-9 3.150E-9 1.985E-1
5.000E-9 3.200E-9 2.048E-1
5.000E-9 3.250E-9 2.113E-1
5.000E-9 3.300E-9 2.178E-1
5.000E-9 3.350E-9 2.245E-1
5.000E-9 3.400E-9 2.312E-1
5.000E-9 3.450E-9 2.381E-1
5.000E-9 3.500E-9 2.450E-1
5.000E-9 3.550E-9 2.520E-1
5.000E-9 3.600E-9 2.592E-1
5.000E-9 3.650E-9 2.665E-1
5.000E-9 3.700E-9 2.738E-1
5.000E-9 3.750E-9 2.813E-1
5.000E-9 3.800E-9 2.888E-1
5.000E-9 3.850E-9 2.965E-1
5.000E-9 3.900E-9 3.042E-1
5.000E-9 3.950E-9 3.121E-1
5.000E-9 4.000E-9 3.200E-1
1.500E-8 3.000E-10 2.000E-4
1.500E-8 3.500E-10 2.722E-4
1.500E-8 4.000E-10 3.556E-4
1.500E-8 4.500E-10 4.500E-4
1.500E-8 5.000E-10 5.556E-4
1.500E-8 5.500E-10 6.722E-4
1.500E-8 6.000E-10 8.000E-4
1.500E-8 6.500E-10 9.389E-4
1.500E-8 7.000E-10 1.089E-3
1.500E-8 7.500E-10 1.250E-3
1.500E-8 8.000E-10 1.422E-3
1.500E-8 8.500E-10 1.606E-3
1.500E-8 9.000E-10 1.800E-3
1.500E-8 9.500E-10 2.006E-3
1.500E-8 1.000E-9 2.222E-3
1.500E-8 1.050E-9 2.450E-3
1.500E-8 1.100E-9 2.689E-3
1.500E-8 1.150E-9 2.939E-3
1.500E-8 1.200E-9 3.200E-3
1.500E-8 1.250E-9 3.472E-3
1.500E-8 1.300E-9 3.756E-3
1.500E-8 1.350E-9 4.050E-3
1.500E-8 1.400E-9 4.356E-3
1.500E-8 1.450E-9 4.672E-3
1.500E-8 1.500E-9 5.000E-3
1.500E-8 1.550E-9 5.339E-3
1.500E-8 1.600E-9 5.689E-3
1.500E-8 1.650E-9 6.050E-3
1.500E-8 1.700E-9 6.422E-3
1.500E-8 1.750E-9 6.806E-3
1.500E-8 1.800E-9 7.200E-3
1.500E-8 1.850E-9 7.606E-3
1.500E-8 1.900E-9 8.022E-3
1.500E-8 1.950E-9 8.450E-3
1.500E-8 2.000E-9 8.889E-3
1.500E-8 2.050E-9 9.339E-3
1.500E-8 2.100E-9 9.800E-3
1.500E-8 2.150E-9 1.027E-2
1.500E-8 2.200E-9 1.076E-2
1.500E-8 2.250E-9 1.125E-2
1.500E-8 2.300E-9 1.176E-2
1.500E-8 2.350E-9 1.227E-2
1.500E-8 2.400E-9 1.280E-2
1.500E-8 2.450E-9 1.334E-2
1.500E-8 2.500E-9 1.389E-2
1.500E-8 2.550E-9 1.445E-2
1.500E-8 2.600E-9 1.502E-2
1.500E-8 2.650E-9 1.561E-2
1.500E-8 2.700E-9 1.620E-2
1.500E-8 2.750E-9 1.681E-2
1.500E-8 2.800E-9 1.742E-2
1.500E-8 2.850E-9 1.805E-2
1.500E-8 2.900E-9 1.869E-2
1.500E-8 2.950E-9 1.934E-2
1.500E-8 3.000E-9 2.000E-2
1.500E-8 3.050E-9 2.067E-2
1.500E-8 3.100E-9 2.136E-2
1.500E-8 3.150E-9 2.205E-2
1.500E-8 3.200E-9 2.276E-2
1.500E-8 3.250E-9 2.347E-2
1.500E-8 3.300E-9 2.420E-2
1.500E-8 3.350E-9 2.494E-2
1.500E-8 3.400E-9 2.569E-2
1.500E-8 3.450E-9 2.645E-2
1.500E-8 3.500E-9 2.722E-2
1.500E-8 3.550E-9 2.801E-2
1.500E-8 3.600E-9 2.880E-2
1.500E-8 3.650E-9 2.961E-2
1.500E-8 3.700E-9 3.042E-2
1.500E-8 3.750E-9 3.125E-2
1.500E-8 3.800E-9 3.209E-2
1.500E-8 3.850E-9 3.294E-2
1.500E-8 3.900E-9 3.380E-2
1.500E-8 3.950E-9 3.467E-2
1.500E-8 4.000E-9 3.556E-2
2.500E-8 3.000E-10 7.200E-5
2.500E-8 3.500E-10 9.800E-5
2.500E-8 4.000E-10 1.280E-4
2.500E-8 4.500E-10 1.620E-4
2.500E-8 5.000E-10 2.000E-4
2.500E-8 5.500E-10 2.420E-4
2.500E-8 6.000E-10 2.880E-4
2.500E-8 6.500E-10 3.380E-4
2.500E-8 7.000E-10 3.920E-4
2.500E-8 7.500E-10 4.500E-4
2.500E-8 8.000E-10 5.120E-4
2.500E-8 8.500E-10 5.780E-4
2.500E-8 9.000E-10 6.480E-4
2.500E-8 9.500E-10 7.220E-4
2.500E-8 1.000E-9 8.000E-4
2.500E-8 1.050E-9 8.820E-4
2.500E-8 1.100E-9 9.680E-4
2.500E-8 1.150E-9 1.058E-3
2.500E-8 1.200E-9 1.152E-3
2.500E-8 1.250E-9 1.250E-3
2.500E-8 1.300E-9 1.352E-3
2.500E-8 1.350E-9 1.458E-3
2.500E-8 1.400E-9 1.568E-3
2.500E-8 1.450E-9 1.682E-3
2.500E-8 1.500E-9 1.800E-3
2.500E-8 1.550E-9 1.922E-3
2.500E-8 1.600E-9 2.048E-3
2.500E-8 1.650E-9 2.178E-3
2.500E-8 1.700E-9 2.312E-3
2.500E-8 1.750E-9 2.450E-3
