name time T kT_1 I
00 8:51:20 281 41.26 1.764E-004
00 8:56:50 282.8 41 1.806E-004
00 9:02:08 285.8 40.57 1.911E-004
00 9:07:20 290.3 39.94 1.971E-004
00 9:13:42 293.5 39.5 1.983E-004
00 9:19:24 299.3 38.74 2.083E-004
00 9:27:14 302.7 38.3 2.131E-004
00 9:32:22 307 37.77 2.205E-004
00 9:39:56 311.1 37.27 2.304E-004
001 9:45:00 317.1 36.56 2.507E-004
001 9:49:50 320.7 36.15 2.501E-004
001 9:55:00 324.3 35.75 2.755E-004
001 10:00:46 328.6 35.28 2.989E-004
001 10:06:24 332.3 34.89 3.054E-004
001 10:12:00 337.1 34.39 3.804E-004
001 10:18:02 342.1 33.89 4.291E-004
001 10:23:48 347 33.41 4.722E-004
001 10:30:04 351.1 33.02 5.181E-004
