N_B T90 T95 T00 T05 T10 T15 T20 T25 T30 T35 T40
T 290 295 300 305 310 315 320 325 330 335 340
1.500000000E+01 -9.929860000E-04 -1.286338000E-02 -3.894118100E-02 -8.996238100E-02 -1.700467730E-01 -1.480240090E-01 -9.451720700E-02 8.817092000E-03 1.703296700E-02 2.739590300E-02 4.004542000E-02
1.600000000E+01 3.314047900E-02 3.217305400E-02 3.146615200E-02 3.121474700E-02 3.040896500E-02 2.884136000E-02 2.609176700E-02 1.993436500E-02 8.468965000E-03 -1.166386500E-02 -4.711935200E-02
1.700000000E+01 5.873973700E-02 5.762250400E-02 5.740182900E-02 5.871696600E-02 6.066042600E-02 6.356661300E-02 6.813543900E-02 7.263734100E-02 7.793069800E-02 8.485790600E-02 9.096863000E-02
1.549996187E+01 2.223329400E-02 2.113992600E-02 1.915596300E-02 1.425026300E-02 4.276303000E-03 -1.488271900E-02 -5.075575900E-02 -1.116382510E-01 -1.885338880E-01 -1.630045600E-01 -1.078790040E-01
1.649996187E+01 5.597901700E-02 5.405993500E-02 5.328581900E-02 5.274547400E-02 5.177286600E-02 5.294930200E-02 5.397304000E-02 5.503931800E-02 5.683114200E-02 5.712259200E-02 5.589344900E-02
1.674996808E+01 6.161801600E-02 5.997396100E-02 5.948855400E-02 5.949547700E-02 6.035927800E-02 6.263548300E-02 6.506861800E-02 6.795554900E-02 7.199804500E-02 7.543050200E-02 7.853189400E-02
1.624993176E+01 4.411893800E-02 4.248749600E-02 4.136500400E-02 4.117287800E-02 4.081702800E-02 4.060964800E-02 4.075528700E-02 3.966971700E-02 3.707650100E-02 3.238875900E-02 2.185448900E-02
1.574996808E+01 2.664738500E-02 2.653576200E-02 2.572816500E-02 2.427398900E-02 2.135913400E-02 1.587059400E-02 4.632823000E-03 -1.634577700E-02 -5.290860400E-02 -1.131052430E-01 -2.021681170E-01
1.524993176E+01 1.345691200E-02 1.003801200E-02 2.354063000E-03 -1.388498700E-02 -4.596719100E-02 -1.048644780E-01 -1.788920670E-01 -1.539206610E-01 -9.721247100E-02 7.507123000E-03 1.449466300E-02
