fname time Tem kT_1 n1 Rs Io1 Rsh n2 Io2 dev  
001_290 001_290.dat 290 39.98 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.410412720E-16 1.000000000E+20 1.240678509E+00 1.012344807E-16 1.154155449E-03 
001_290_SRH 001_290_srh.dat 290 39.98 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.541370047E-17 1.000000000E+20 1.273365574E+00 1.030013281E-16 3.472301166E-03 
002_290 002_290.dat 290 39.98 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.566791212E-16 1.000000000E+20 1.245163030E+00 1.479851867E-16 1.477601466E-03 
002_290_SRH 002_290_srh.dat 290 39.98 1.000000000E+00 1.000000000E+00 0.000000000E+00 5.174952732E-17 1.000000000E+20 1.273958474E+00 1.512650456E-16 3.485049566E-03 
003_290 003_290.dat 290 39.98 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.803562841E-16 1.000000000E+20 1.256677782E+00 2.178597973E-16 1.832478630E-03 
003_290_SRH 003_290_srh.dat 290 39.98 1.000000000E+00 1.000000000E+00 0.000000000E+00 7.546786152E-17 1.000000000E+20 1.274824673E+00 2.221985596E-16 3.504088346E-03 
004_290 004_290.dat 290 39.98 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.132880040E-16 1.000000000E+20 1.258159985E+00 3.190694070E-16 2.171004841E-03 
004_290_SRH 004_290_srh.dat 290 39.98 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.097371822E-16 1.000000000E+20 1.276087455E+00 3.265131233E-16 3.532728848E-03 
005_290 005_290.dat 290 39.98 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.614538939E-16 1.000000000E+20 1.265908772E+00 4.769172626E-16 2.513550278E-03 
005_290_SRH 005_290_srh.dat 290 39.98 1.000000000E+00 1.000000000E+00 0.000000000E+00 1.589082420E-16 1.000000000E+20 1.277922626E+00 4.800534061E-16 3.576233361E-03 
006_290 006_290.dat 290 39.98 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.283658263E-16 1.000000000E+20 1.266682694E+00 6.993393464E-16 2.805859471E-03 
006_290_SRH 006_290_srh.dat 290 39.98 1.000000000E+00 1.000000000E+00 0.000000000E+00 2.287773666E-16 1.000000000E+20 1.280577688E+00 7.063399674E-16 3.643136394E-03 
007_290 007_290.dat 290 39.98 1.000000000E+00 1.000000000E+00 0.000000000E+00 4.212879000E-16 1.000000000E+20 1.267251291E+00 1.025748605E-15 3.077304348E-03 
007_290_SRH 007_290_srh.dat 290 39.98 1.000000000E+00 1.000000000E+00 0.000000000E+00 3.252230507E-16 1.000000000E+20 1.280791638E+00 1.036776498E-15 3.714653640E-03 
