T d154 d184 d214 d244
d 150 180 210 240
290 1.207267411E+00 1.207070204E+00 1.206570322E+00 1.206079630E+00
295 1.201761372E+00 1.202001174E+00 1.201798662E+00 1.200291118E+00
300 1.189603886E+00 1.190655305E+00 1.191090575E+00 1.190001961E+00
305 1.163900749E+00 1.166493635E+00 1.168224630E+00 1.168026863E+00
310 1.113721358E+00 1.119150631E+00 1.123345289E+00 1.124867039E+00
315 1.026536677E+00 1.036377155E+00 1.044601093E+00 1.048976374E+00
320 1.018277132E+00 1.016794993E+00 1.015817927E+00 1.015199634E+00
325 1.020345612E+00 1.018420153E+00 1.017122682E+00 1.016284107E+00
330 1.025156182E+00 1.022438234E+00 1.020526142E+00 1.019251527E+00
335 1.033678668E+00 1.029718531E+00 1.026771167E+00 1.024718875E+00
340 1.047009122E+00 1.041361810E+00 1.036890563E+00 1.033580608E+00
